,USDBCH,USDDOGE,USDBTC,USDLTC,USDUSDT,USDETH,USDLINK,USDBNB,USDADA,USDBUSD,USDXRP,USDPKR,USDNOK,USDKRW,USDHUF,USDCHF,USDBRL,USDHKD,USDRUB,USDJPY,USDDKK,USDSGD,USDILS,USDSEK,USDCAD,USDZAR,USDMXN,USDINR,USDCZK,USDCNY,USDCLP,USDPLN,USDTRY,USDEUR,USDNZD,USDGBP,USDAUD
2009-01-02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.034526542395568516,0.0,0.0,0.0,-0.025375014585947153,-5.161490123350987e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.015961912096131403,0.0,0.0,0.0,0.0,-0.09347368965177427,0.0,0.0,0.0,0.0,0.0,0.0
2009-01-03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2009-01-04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2009-01-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0018720754297447684,-0.026547562073908848,-0.06737318409819615,-0.05823385330700237,-0.00999394659845912,-0.04472784042654221,0.0,-0.02449472780249895,0.0,-0.0020998317173777092,-0.02534313694415752,-0.011044530034897804,-0.015326773643700164,-0.06128456175112071,-0.10434930300882961,-0.01027431076924712,-0.019743387344739016,-0.013259644102221912,-0.0022560145515300167,0.0,-0.03265718607799695,-0.01830800248686254,-0.002415642451941924,-0.008092936500048054,-0.03104613153913849,-0.044513996908027265
2009-01-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.06114065221634202,-0.03571238745206884,-0.09096293123183408,-0.05916093581835326,-0.1079204187555427,0.0,-0.07543650223743903,-0.025763027831883,-0.06610737263242772,-0.026626260687572456,-0.06122837719310392,-0.08289011421812642,-0.08300746725970576,-0.053736981182732624,-0.037985113185055486,-0.05954262933514842,-0.06390784712533026,0.0,-0.04323389438973013,-0.04109486053521705,-0.04393770303142014,-0.06572533073744147,-0.12856903916142776,-0.09739835256029561,-0.10344191838572567
2009-01-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0031046283862972146,0.0,0.0,-0.03488786101097574,0.0,-0.00942552882063541,-6.451654529016082e-05,0.0,0.0,0.0,0.0,-0.011357891844409496,0.0,0.0,-0.030899097777989493,-0.008725396783207273,0.0,-0.03836946951141451,0.0,-0.039682316858601574,-0.026789182608663475,-0.00039408867505102974,0.0,0.0,-0.0018835257869679323,0.0
2009-01-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.038956767441214124,-0.009111316228556099,0.0,-0.007851975282685261,-0.010560639181337872,0.0,0.0,-0.0392745504032872,-0.004860531646308841,-6.926886713537472e-05,-0.012539349252735255,-0.04017426520666345,-0.03979564108535269,0.0,0.0,0.0,-0.003481724482169657,-0.0005269860909804525,0.0,-0.045068285401706376,-0.0037516087046554625,-0.0048644743249907085,-0.05373791100763864,0.0,-0.02202732231829077
2009-01-09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2009-01-10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0006051437401008997,-0.046227705956501275,-0.059716764272657485,-0.04208990717197203,-0.02374055092992168,-0.06850362646441055,-9.032316343660085e-05,-0.05892166960546019,-0.03651521297509763,-0.02206213311755767,-0.020646707454902713,-0.011102413804305211,-0.03397737207614404,-0.01819811548585107,-0.030524458210646088,0.0,-0.02932882665254155,-0.032522276635081226,-0.0005126139762940962,-0.00297284125074615,-0.0022871197394032095,-0.012474450130285808,-0.021636379167954356,-0.05843388748095846,0.0,-0.052345754155533
2009-01-11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.03420631457665557,-0.015719947473684215,-0.036341804249188314,-0.040998190450584934,-0.03597982098434993,-1.2903975069811224e-05,-0.035048598157080946,-0.03292385012008481,-0.03725210870411133,-0.024772171656390007,0.0,-0.018408640647181507,-0.03483756832488554,-0.05086409141087733,-0.06886933978819698,-0.03107955556958153,-0.018820553211855273,0.0,-0.10953941031557335,-0.07127544743761338,0.0,-0.03761796827574565,-0.01594930140767803,-0.04170725770560613,-0.06104344735470209
2009-01-12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
