,USDBCH,USDDOGE,USDBTC,USDLTC,USDUSDT,USDETH,USDLINK,USDBNB,USDADA,USDBUSD,USDXRP,USDPKR,USDNOK,USDKRW,USDHUF,USDCHF,USDBRL,USDHKD,USDRUB,USDJPY,USDDKK,USDSGD,USDILS,USDSEK,USDCAD,USDZAR,USDMXN,USDINR,USDCZK,USDCNY,USDCLP,USDPLN,USDTRY,USDEUR,USDNZD,USDGBP,USDAUD
2009-01-02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07839691778024438,0.1954213140848573,0.071963084206103,0.0,0.0,0.15045572395854423,0.08224389720417591,0.055236216260514004,0.05502622924643974,0.10674107128515709,0.047101124823706986,0.03193304710300918,0.0,0.0023782937951621896,0.03824172963886019,0.06214942474830121,0.0015962630339949602,0.0,0.1463940557925405,0.052638730345951956,0.05563725814085557,0.0242573624978506,0.009908565207049247,0.005139931361600292
2009-01-03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2009-01-04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2009-01-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.005465047505341936,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.006962080637419987,0.0,0.0,0.0,0.0,0.0,0.0
2009-01-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.007467365128493775,0.0,0.0,0.0,0.0,0.0,9.032432891942221e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001157941924486261,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2009-01-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.028798095094458853,0.019847182350321013,0.0,0.0039182809716602485,0.0,0.0,0.008881442382377536,0.00031063940192854744,0.00087505712477709,0.0014556547816954035,0.0,0.022359455432355624,0.05146289584744648,0.0,0.0,0.020523305770705935,0.0,0.0009810023115519595,0.0,0.0,0.0,0.0009889101604107498,0.014902480078349045,0.0,0.0022246950221111172
2009-01-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.027600648082112933,0.0,0.0,0.02342759028378527,0.0,0.0,7.741935487715068e-05,0.031489018285395076,0.0,0.0,0.0,0.0,0.0,0.0,0.022077364448841674,0.04109477118262683,0.028490779253818044,0.0,0.0,0.033941875944848654,0.0,0.0,0.0,0.0,0.01949188281789066,0.0
2009-01-09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2009-01-10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.006400885023099434,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01327163627593797,0.0
2009-01-11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.009638628837768337,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0021242705810806672,0.0,0.0,0.0,0.0,0.0,0.0,0.00014648795162797157,0.0,0.0,0.002334190262515856,0.0,0.0,0.0,0.0
2009-01-12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2009-01-13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.23981924902825336,0.158224005214894,0.1555013764357822,0.11274209530942639,0.29741739120537836,0.0009028763672804807,0.07355719761312018,0.028334375449890814,0.1351090574764664,0.07564461517631094,0.03467048673855855,0.18240361243255032,0.15691798919381525,0.31410637412229425,0.07247454185202606,0.055715932522392375,0.1581472452801309,0.0010394478686588382,0.21314812179965958,0.1397555597563065,0.059417015317983324,0.13399547590265004,0.27528446607656065,0.13657846970430587,0.33269722270063706
2009-01-14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0019274018173591756,0.004970550011941466,0.0,0.0020939426106147963,0.0,0.01964196367050186,6.445998648585416e-05,0.014789694823099442,0.0,0.001999522904238882,0.0024165951211515546,0.0,0.01172003218832085,0.018932604337106057,0.014933079885572464,0.020149702763025523,0.0,0.02379542979324878,5.852830576857926e-05,0.006162847919578773,0.012054071409221434,0.018840911748226163,0.002580059103100607,0.020502274057496495,0.0,0.006805319269754917
