,window_index,MAE,type
0,0,0.028398700058460236,Within- & Cross-Market
1,1,0.02614041604101658,Within- & Cross-Market
2,2,0.013350147753953934,Within- & Cross-Market
3,3,0.012655994854867458,Within- & Cross-Market
4,4,0.01812003180384636,Within- & Cross-Market
5,5,0.009303715080022812,Within- & Cross-Market
6,6,0.02541743963956833,Within- & Cross-Market
7,7,0.014517145231366158,Within- & Cross-Market
8,8,0.029026782140135765,Within- & Cross-Market
9,9,0.017261022701859474,Within- & Cross-Market
10,10,0.019546858966350555,Within- & Cross-Market
11,11,0.015009633265435696,Within- & Cross-Market
12,12,0.01580960489809513,Within- & Cross-Market
13,13,0.02681651897728443,Within- & Cross-Market
14,14,0.01987462118268013,Within- & Cross-Market
15,15,0.01735643856227398,Within- & Cross-Market
16,16,0.01261603832244873,Within- & Cross-Market
17,17,0.025214800611138344,Within- & Cross-Market
18,18,0.017776858061552048,Within- & Cross-Market
19,19,0.019032372161746025,Within- & Cross-Market
20,20,0.017584552988409996,Within- & Cross-Market
21,21,0.025769051164388657,Within- & Cross-Market
22,22,0.02426832728087902,Within- & Cross-Market
23,23,0.011833577416837215,Within- & Cross-Market
24,24,0.027465609833598137,Within- & Cross-Market
25,25,0.04418931528925896,Within- & Cross-Market
26,26,0.03742973878979683,Within- & Cross-Market
27,27,0.048482105135917664,Within- & Cross-Market
28,28,0.050720538944005966,Within- & Cross-Market
29,29,0.04391331598162651,Within- & Cross-Market
30,30,0.056287962943315506,Within- & Cross-Market
31,31,0.03309844806790352,Within- & Cross-Market
32,32,0.029729602858424187,Within- & Cross-Market
33,33,0.0445341095328331,Within- & Cross-Market
34,34,0.030113214626908302,Within- & Cross-Market
35,35,0.03112977370619774,Within- & Cross-Market
36,36,0.03704259172081947,Within- & Cross-Market
37,37,0.06477503478527069,Within- & Cross-Market
38,38,0.06281337141990662,Within- & Cross-Market
39,39,0.018470164388418198,Within- & Cross-Market
40,40,0.017444901168346405,Within- & Cross-Market
41,41,0.03974989429116249,Within- & Cross-Market
42,42,0.024865180253982544,Within- & Cross-Market
43,43,0.015298736281692982,Within- & Cross-Market
44,44,0.01564725488424301,Within- & Cross-Market
45,45,0.01084550004452467,Within- & Cross-Market
46,46,0.012155990116298199,Within- & Cross-Market
47,0,0.07887159287929535,Within-Market
48,1,0.07700558006763458,Within-Market
49,2,0.0672035664319992,Within-Market
50,3,0.06584984809160233,Within-Market
51,4,0.07871834933757782,Within-Market
52,5,0.07397884875535965,Within-Market
53,6,0.06652162224054337,Within-Market
54,7,0.0697757750749588,Within-Market
55,8,0.07809261232614517,Within-Market
56,9,0.07560810446739197,Within-Market
57,10,0.06819038093090057,Within-Market
58,11,0.029151488095521927,Within-Market
59,12,0.07112355530261993,Within-Market
60,13,0.0760071724653244,Within-Market
61,14,0.04552225396037102,Within-Market
62,15,0.05587303265929222,Within-Market
63,16,0.051454950124025345,Within-Market
64,17,0.06405748426914215,Within-Market
65,18,0.05371026694774628,Within-Market
66,19,0.05788718909025192,Within-Market
67,20,0.07010633498430252,Within-Market
68,21,0.06068478152155876,Within-Market
69,22,0.048629339784383774,Within-Market
70,23,0.08167830109596252,Within-Market
71,24,0.16676141321659088,Within-Market
72,25,0.16994346678256989,Within-Market
73,26,0.18775300681591034,Within-Market
74,27,0.15822817385196686,Within-Market
75,28,0.12546990811824799,Within-Market
76,29,0.11450929194688797,Within-Market
77,30,0.09419187903404236,Within-Market
78,31,0.08659955114126205,Within-Market
79,32,0.10733301192522049,Within-Market
80,33,0.06143778935074806,Within-Market
81,34,0.07908021658658981,Within-Market
82,35,0.10301094502210617,Within-Market
83,36,0.13296519219875336,Within-Market
84,37,0.06932107359170914,Within-Market
85,38,0.08823155611753464,Within-Market
86,39,0.06960923969745636,Within-Market
87,40,0.08214635401964188,Within-Market
88,41,0.07479507476091385,Within-Market
89,42,0.05214830860495567,Within-Market
90,43,0.06397106498479843,Within-Market
91,44,0.08847270905971527,Within-Market
92,45,0.05040184035897255,Within-Market
93,46,0.057425856590270996,Within-Market
