,window_index,MAE,type
0,0,0.027495335787534714,Within- & Cross-Market
1,1,0.01936177723109722,Within- & Cross-Market
2,2,0.015219461172819138,Within- & Cross-Market
3,3,0.02357674390077591,Within- & Cross-Market
4,4,0.013354823924601078,Within- & Cross-Market
5,5,0.03373686596751213,Within- & Cross-Market
6,6,0.025997793301939964,Within- & Cross-Market
7,7,0.01573305018246174,Within- & Cross-Market
8,8,0.03548232838511467,Within- & Cross-Market
9,9,0.02731970325112343,Within- & Cross-Market
10,10,0.02454262599349022,Within- & Cross-Market
11,11,0.014623402617871761,Within- & Cross-Market
12,12,0.02893611043691635,Within- & Cross-Market
13,13,0.01562208216637373,Within- & Cross-Market
14,14,0.013574808835983276,Within- & Cross-Market
15,15,0.03177082538604736,Within- & Cross-Market
16,16,0.0208450835198164,Within- & Cross-Market
17,17,0.013371496461331844,Within- & Cross-Market
18,18,0.017672458663582802,Within- & Cross-Market
19,19,0.013219352811574936,Within- & Cross-Market
20,20,0.02683771401643753,Within- & Cross-Market
21,21,0.015635685995221138,Within- & Cross-Market
22,22,0.012214590795338154,Within- & Cross-Market
23,23,0.015025168657302856,Within- & Cross-Market
24,24,0.04175535961985588,Within- & Cross-Market
25,25,0.07209237664937973,Within- & Cross-Market
26,26,0.03781243786215782,Within- & Cross-Market
27,27,0.036699678748846054,Within- & Cross-Market
28,28,0.030100397765636444,Within- & Cross-Market
29,29,0.04381421580910683,Within- & Cross-Market
30,30,0.03191431239247322,Within- & Cross-Market
31,31,0.030762946233153343,Within- & Cross-Market
32,32,0.030509190633893013,Within- & Cross-Market
33,33,0.03091401234269142,Within- & Cross-Market
34,34,0.04518013820052147,Within- & Cross-Market
35,35,0.05008145049214363,Within- & Cross-Market
36,36,0.04352820664644241,Within- & Cross-Market
37,37,0.0428481325507164,Within- & Cross-Market
38,38,0.039279840886592865,Within- & Cross-Market
39,39,0.01700752228498459,Within- & Cross-Market
40,40,0.019881386309862137,Within- & Cross-Market
41,41,0.03059113770723343,Within- & Cross-Market
42,42,0.02218417264521122,Within- & Cross-Market
43,43,0.010827647522091866,Within- & Cross-Market
44,44,0.017617393285036087,Within- & Cross-Market
45,45,0.01982460729777813,Within- & Cross-Market
46,46,0.01991449110209942,Within- & Cross-Market
47,0,0.09985160827636719,Within-Market
48,1,0.09816042333841324,Within-Market
49,2,0.06946781277656555,Within-Market
50,3,0.06646685302257538,Within-Market
51,4,0.06863368302583694,Within-Market
52,5,0.07137444615364075,Within-Market
53,6,0.06444279849529266,Within-Market
54,7,0.08921446651220322,Within-Market
55,8,0.08628196269273758,Within-Market
56,9,0.0861959308385849,Within-Market
57,10,0.07312023639678955,Within-Market
58,11,0.028578978031873703,Within-Market
59,12,0.07898881286382675,Within-Market
60,13,0.0805170089006424,Within-Market
61,14,0.04427378252148628,Within-Market
62,15,0.057452406734228134,Within-Market
63,16,0.05336993932723999,Within-Market
64,17,0.06270168721675873,Within-Market
65,18,0.04938727989792824,Within-Market
66,19,0.05534331873059273,Within-Market
67,20,0.05356193333864212,Within-Market
68,21,0.0468534491956234,Within-Market
69,22,0.05338593199849129,Within-Market
70,23,0.06558988988399506,Within-Market
71,24,0.15014657378196716,Within-Market
72,25,0.1711139678955078,Within-Market
73,26,0.17885693907737732,Within-Market
74,27,0.13221055269241333,Within-Market
75,28,0.1284399777650833,Within-Market
76,29,0.1368100792169571,Within-Market
77,30,0.11412126570940018,Within-Market
78,31,0.10304904729127884,Within-Market
79,32,0.09408082067966461,Within-Market
80,33,0.06637231260538101,Within-Market
81,34,0.0877058282494545,Within-Market
82,35,0.14892536401748657,Within-Market
83,36,0.1273280829191208,Within-Market
84,37,0.07523426413536072,Within-Market
85,38,0.08700785785913467,Within-Market
86,39,0.07417310029268265,Within-Market
87,40,0.08317936211824417,Within-Market
88,41,0.0925203189253807,Within-Market
89,42,0.05256078764796257,Within-Market
90,43,0.09810806810855865,Within-Market
91,44,0.07220146805047989,Within-Market
92,45,0.050277229398489,Within-Market
93,46,0.06277739256620407,Within-Market
