,window_index,MAE,type
0,0,0.022469500079751015,Within- & Cross-Market
1,1,0.010064520873129368,Within- & Cross-Market
2,2,0.022159038111567497,Within- & Cross-Market
3,3,0.012545743025839329,Within- & Cross-Market
4,4,0.017760710790753365,Within- & Cross-Market
5,5,0.02292865328490734,Within- & Cross-Market
6,6,0.01150018535554409,Within- & Cross-Market
7,7,0.013856492005288601,Within- & Cross-Market
8,8,0.015261008404195309,Within- & Cross-Market
9,9,0.025455569848418236,Within- & Cross-Market
10,10,0.013103334233164787,Within- & Cross-Market
11,11,0.00722174858674407,Within- & Cross-Market
12,12,0.011873489245772362,Within- & Cross-Market
13,13,0.011347595602273941,Within- & Cross-Market
14,14,0.014711355790495872,Within- & Cross-Market
15,15,0.016967318952083588,Within- & Cross-Market
16,16,0.014879776164889336,Within- & Cross-Market
17,17,0.008866986259818077,Within- & Cross-Market
18,18,0.007883529178798199,Within- & Cross-Market
19,19,0.01811501942574978,Within- & Cross-Market
20,20,0.009271281771361828,Within- & Cross-Market
21,21,0.01800227351486683,Within- & Cross-Market
22,22,0.008655836805701256,Within- & Cross-Market
23,23,0.024090798571705818,Within- & Cross-Market
24,24,0.03816963732242584,Within- & Cross-Market
25,25,0.06405045092105865,Within- & Cross-Market
26,26,0.03684123232960701,Within- & Cross-Market
27,27,0.035682063549757004,Within- & Cross-Market
28,28,0.042424242943525314,Within- & Cross-Market
29,29,0.0772285908460617,Within- & Cross-Market
30,30,0.028604749590158463,Within- & Cross-Market
31,31,0.03398450091481209,Within- & Cross-Market
32,32,0.03250304237008095,Within- & Cross-Market
33,33,0.029177801683545113,Within- & Cross-Market
34,34,0.018606672063469887,Within- & Cross-Market
35,35,0.02622043713927269,Within- & Cross-Market
36,36,0.031656451523303986,Within- & Cross-Market
37,37,0.02438674122095108,Within- & Cross-Market
38,38,0.023873131722211838,Within- & Cross-Market
39,39,0.02792397141456604,Within- & Cross-Market
40,40,0.13939738273620605,Within- & Cross-Market
41,41,0.022321736440062523,Within- & Cross-Market
42,42,0.03246490657329559,Within- & Cross-Market
43,43,0.018784819170832634,Within- & Cross-Market
44,44,0.024521946907043457,Within- & Cross-Market
45,45,0.008587499149143696,Within- & Cross-Market
46,46,0.007255044765770435,Within- & Cross-Market
47,0,0.0702873095870018,Within-Market
48,1,0.06128155440092087,Within-Market
49,2,0.05860083922743797,Within-Market
50,3,0.0598488487303257,Within-Market
51,4,0.05975348874926567,Within-Market
52,5,0.07472352683544159,Within-Market
53,6,0.05343841016292572,Within-Market
54,7,0.06018383428454399,Within-Market
55,8,0.05574261024594307,Within-Market
56,9,0.06681869924068451,Within-Market
57,10,0.06107432395219803,Within-Market
58,11,0.04009226709604263,Within-Market
59,12,0.07833842188119888,Within-Market
60,13,0.07629413902759552,Within-Market
61,14,0.05413125827908516,Within-Market
62,15,0.05997699126601219,Within-Market
63,16,0.04449700191617012,Within-Market
64,17,0.04763549938797951,Within-Market
65,18,0.050282079726457596,Within-Market
66,19,0.05560328811407089,Within-Market
67,20,0.05111854150891304,Within-Market
68,21,0.05309011787176132,Within-Market
69,22,0.06398359686136246,Within-Market
70,23,0.06400205940008163,Within-Market
71,24,0.15348078310489655,Within-Market
72,25,0.16064858436584473,Within-Market
73,26,0.2055758684873581,Within-Market
74,27,0.14002782106399536,Within-Market
75,28,0.13560999929904938,Within-Market
76,29,0.1239163726568222,Within-Market
77,30,0.0983576849102974,Within-Market
78,31,0.10369183868169785,Within-Market
79,32,0.08874652534723282,Within-Market
80,33,0.09630615264177322,Within-Market
81,34,0.09814325720071793,Within-Market
82,35,0.0834798663854599,Within-Market
83,36,0.09681680798530579,Within-Market
84,37,0.0739465206861496,Within-Market
85,38,0.07990048080682755,Within-Market
86,39,0.06162823364138603,Within-Market
87,40,0.07187984883785248,Within-Market
88,41,0.08508164435625076,Within-Market
89,42,0.06782218813896179,Within-Market
90,43,0.06717971712350845,Within-Market
91,44,0.06839516013860703,Within-Market
92,45,0.0611739419400692,Within-Market
93,46,0.05025260150432587,Within-Market
