,window_index,MAE,type
0,0,0.03694046288728714,Within- & Cross-Market
1,1,0.01005294919013977,Within- & Cross-Market
2,2,0.03216254338622093,Within- & Cross-Market
3,3,0.02471674233675003,Within- & Cross-Market
4,4,0.014401928521692753,Within- & Cross-Market
5,5,0.011086507700383663,Within- & Cross-Market
6,6,0.010997279547154903,Within- & Cross-Market
7,7,0.02422833815217018,Within- & Cross-Market
8,8,0.01952611282467842,Within- & Cross-Market
9,9,0.01859230175614357,Within- & Cross-Market
10,10,0.01138229388743639,Within- & Cross-Market
11,11,0.012508301064372063,Within- & Cross-Market
12,12,0.024968039244413376,Within- & Cross-Market
13,13,0.020241601392626762,Within- & Cross-Market
14,14,0.012332241050899029,Within- & Cross-Market
15,15,0.015959393233060837,Within- & Cross-Market
16,16,0.012866743840277195,Within- & Cross-Market
17,17,0.00689541082829237,Within- & Cross-Market
18,18,0.007773976307362318,Within- & Cross-Market
19,19,0.017793668434023857,Within- & Cross-Market
20,20,0.01708313636481762,Within- & Cross-Market
21,21,0.018530499190092087,Within- & Cross-Market
22,22,0.017223918810486794,Within- & Cross-Market
23,23,0.016169317066669464,Within- & Cross-Market
24,24,0.03831879422068596,Within- & Cross-Market
25,25,0.036777134984731674,Within- & Cross-Market
26,26,0.05537901818752289,Within- & Cross-Market
27,27,0.022325333207845688,Within- & Cross-Market
28,28,0.035410474985837936,Within- & Cross-Market
29,29,0.03395489975810051,Within- & Cross-Market
30,30,0.027941536158323288,Within- & Cross-Market
31,31,0.03721944987773895,Within- & Cross-Market
32,32,0.03563417121767998,Within- & Cross-Market
33,33,0.024279190227389336,Within- & Cross-Market
34,34,0.025674263015389442,Within- & Cross-Market
35,35,0.032255869358778,Within- & Cross-Market
36,36,0.041541315615177155,Within- & Cross-Market
37,37,0.01894262246787548,Within- & Cross-Market
38,38,0.025656800717115402,Within- & Cross-Market
39,39,0.007575499825179577,Within- & Cross-Market
40,40,0.013373867608606815,Within- & Cross-Market
41,41,0.021853912621736526,Within- & Cross-Market
42,42,0.016557540744543076,Within- & Cross-Market
43,43,0.018957961350679398,Within- & Cross-Market
44,44,0.017728758975863457,Within- & Cross-Market
45,45,0.01419826690107584,Within- & Cross-Market
46,46,0.006842148490250111,Within- & Cross-Market
47,0,0.0829136073589325,Within-Market
48,1,0.09224916994571686,Within-Market
49,2,0.06610114872455597,Within-Market
50,3,0.0979074239730835,Within-Market
51,4,0.08230676501989365,Within-Market
52,5,0.11077342927455902,Within-Market
53,6,0.058942683041095734,Within-Market
54,7,0.09635402262210846,Within-Market
55,8,0.08073831349611282,Within-Market
56,9,0.08460536599159241,Within-Market
57,10,0.09639396518468857,Within-Market
58,11,0.04374127462506294,Within-Market
59,12,0.10246530920267105,Within-Market
60,13,0.10528980940580368,Within-Market
61,14,0.05347846448421478,Within-Market
62,15,0.07561516016721725,Within-Market
63,16,0.09986989200115204,Within-Market
64,17,0.08093934506177902,Within-Market
65,18,0.07029391825199127,Within-Market
66,19,0.06584490090608597,Within-Market
67,20,0.07852243632078171,Within-Market
68,21,0.05887497216463089,Within-Market
69,22,0.06567172706127167,Within-Market
70,23,0.08738157153129578,Within-Market
71,24,0.1858334243297577,Within-Market
72,25,0.18230901658535004,Within-Market
73,26,0.18510904908180237,Within-Market
74,27,0.14547942578792572,Within-Market
75,28,0.18178638815879822,Within-Market
76,29,0.12469606846570969,Within-Market
77,30,0.12351033836603165,Within-Market
78,31,0.1210353821516037,Within-Market
79,32,0.10523325949907303,Within-Market
80,33,0.12141882628202438,Within-Market
81,34,0.10297299921512604,Within-Market
82,35,0.14493320882320404,Within-Market
83,36,0.11496838927268982,Within-Market
84,37,0.08463874459266663,Within-Market
85,38,0.09246134757995605,Within-Market
86,39,0.07408007234334946,Within-Market
87,40,0.10135441273450851,Within-Market
88,41,0.10262321680784225,Within-Market
89,42,0.0788564458489418,Within-Market
90,43,0.08142406493425369,Within-Market
91,44,0.07344124466180801,Within-Market
92,45,0.08436859399080276,Within-Market
93,46,0.11494281142950058,Within-Market
