,window_index,MAE,type
0,0,0.011817695572972298,Within- & Cross-Market
1,1,1.3847852945327759,Within- & Cross-Market
2,2,0.16247746348381042,Within- & Cross-Market
3,3,0.11607947200536728,Within- & Cross-Market
4,4,0.059549976140260696,Within- & Cross-Market
5,5,0.01888883113861084,Within- & Cross-Market
6,6,0.03269996494054794,Within- & Cross-Market
7,7,0.03294884413480759,Within- & Cross-Market
8,8,0.028456376865506172,Within- & Cross-Market
9,9,0.0501338467001915,Within- & Cross-Market
10,10,0.023155204951763153,Within- & Cross-Market
11,11,0.01965985633432865,Within- & Cross-Market
12,12,0.020940309390425682,Within- & Cross-Market
13,13,0.01951032504439354,Within- & Cross-Market
14,14,0.008172684349119663,Within- & Cross-Market
15,15,0.016198866069316864,Within- & Cross-Market
16,16,0.011764430440962315,Within- & Cross-Market
17,17,0.016109563410282135,Within- & Cross-Market
18,18,0.013108229264616966,Within- & Cross-Market
19,19,0.018616080284118652,Within- & Cross-Market
20,20,0.01357413548976183,Within- & Cross-Market
21,21,0.015938084572553635,Within- & Cross-Market
22,22,0.018495997413992882,Within- & Cross-Market
23,23,0.014048620127141476,Within- & Cross-Market
24,24,0.021743230521678925,Within- & Cross-Market
25,25,0.06288754194974899,Within- & Cross-Market
26,26,0.05249299108982086,Within- & Cross-Market
27,27,0.03539259359240532,Within- & Cross-Market
28,28,0.06628360599279404,Within- & Cross-Market
29,29,0.05117595195770264,Within- & Cross-Market
30,30,0.04415184631943703,Within- & Cross-Market
31,31,0.028961503878235817,Within- & Cross-Market
32,32,0.032402731478214264,Within- & Cross-Market
33,33,0.02832595817744732,Within- & Cross-Market
34,34,0.029456254094839096,Within- & Cross-Market
35,35,0.0407843180000782,Within- & Cross-Market
36,36,0.05196426063776016,Within- & Cross-Market
37,37,0.02583354152739048,Within- & Cross-Market
38,38,0.013023525476455688,Within- & Cross-Market
39,39,0.029197266325354576,Within- & Cross-Market
40,40,0.030035236850380898,Within- & Cross-Market
41,41,0.023426325991749763,Within- & Cross-Market
42,42,0.011149337515234947,Within- & Cross-Market
43,43,0.01708173006772995,Within- & Cross-Market
44,44,0.01791246049106121,Within- & Cross-Market
45,45,0.015616643242537975,Within- & Cross-Market
46,46,0.011582664214074612,Within- & Cross-Market
47,0,0.13418364524841309,Within-Market
48,1,0.0676732063293457,Within-Market
49,2,0.0792299285531044,Within-Market
50,3,0.08014079928398132,Within-Market
51,4,0.0809326320886612,Within-Market
52,5,0.1074073314666748,Within-Market
53,6,0.0660521537065506,Within-Market
54,7,0.06283243000507355,Within-Market
55,8,0.12345878034830093,Within-Market
56,9,0.07102062553167343,Within-Market
57,10,0.07456546276807785,Within-Market
58,11,0.040094468742609024,Within-Market
59,12,0.06702733039855957,Within-Market
60,13,0.07175511866807938,Within-Market
61,14,0.05123946815729141,Within-Market
62,15,0.06729844212532043,Within-Market
63,16,0.03911544755101204,Within-Market
64,17,0.04265359416604042,Within-Market
65,18,0.05109348148107529,Within-Market
66,19,0.05977772921323776,Within-Market
67,20,0.06724011898040771,Within-Market
68,21,0.05670661851763725,Within-Market
69,22,0.05718860775232315,Within-Market
70,23,0.06325875967741013,Within-Market
71,24,0.16425953805446625,Within-Market
72,25,0.22310787439346313,Within-Market
73,26,0.21835263073444366,Within-Market
74,27,0.17775492370128632,Within-Market
75,28,0.13424940407276154,Within-Market
76,29,0.11348076909780502,Within-Market
77,30,0.12236437946557999,Within-Market
78,31,0.09384287893772125,Within-Market
79,32,0.09235246479511261,Within-Market
80,33,0.1021340861916542,Within-Market
81,34,0.0969134047627449,Within-Market
82,35,0.13670141994953156,Within-Market
83,36,0.13106323778629303,Within-Market
84,37,0.09369613230228424,Within-Market
85,38,0.0849647969007492,Within-Market
86,39,0.07503817230463028,Within-Market
87,40,0.09578736871480942,Within-Market
88,41,0.1045115515589714,Within-Market
89,42,0.07067379355430603,Within-Market
90,43,0.06990591436624527,Within-Market
91,44,0.06222617253661156,Within-Market
92,45,0.08441008627414703,Within-Market
93,46,0.04675497114658356,Within-Market
