,window_index,MAE,type
0,0,0.10105637460947037,Within- & Cross-Market
1,1,0.05501820892095566,Within- & Cross-Market
2,2,0.04453940689563751,Within- & Cross-Market
3,3,0.03738090768456459,Within- & Cross-Market
4,4,0.024113185703754425,Within- & Cross-Market
5,5,0.05459420382976532,Within- & Cross-Market
6,6,0.020735107362270355,Within- & Cross-Market
7,7,0.04398535564541817,Within- & Cross-Market
8,8,0.02073240652680397,Within- & Cross-Market
9,9,0.019656630232930183,Within- & Cross-Market
10,10,0.06690917164087296,Within- & Cross-Market
11,11,0.08605124056339264,Within- & Cross-Market
12,12,0.020554013550281525,Within- & Cross-Market
13,13,0.017463210970163345,Within- & Cross-Market
14,14,0.010278480127453804,Within- & Cross-Market
15,15,0.04769159480929375,Within- & Cross-Market
16,16,0.08628961443901062,Within- & Cross-Market
17,17,0.08701549470424652,Within- & Cross-Market
18,18,0.09181802719831467,Within- & Cross-Market
19,19,0.033546216785907745,Within- & Cross-Market
20,20,0.05090705677866936,Within- & Cross-Market
21,21,0.028291229158639908,Within- & Cross-Market
22,22,0.04773789271712303,Within- & Cross-Market
23,23,0.03805379942059517,Within- & Cross-Market
24,24,0.02400120347738266,Within- & Cross-Market
25,25,0.02463037148118019,Within- & Cross-Market
26,26,0.11121657490730286,Within- & Cross-Market
27,27,0.041262999176979065,Within- & Cross-Market
28,28,0.060500796884298325,Within- & Cross-Market
29,29,0.03185117244720459,Within- & Cross-Market
30,30,0.018826782703399658,Within- & Cross-Market
31,31,0.04102702438831329,Within- & Cross-Market
32,32,0.0459010973572731,Within- & Cross-Market
33,33,0.029200322926044464,Within- & Cross-Market
34,34,0.04282236844301224,Within- & Cross-Market
35,35,0.05896903946995735,Within- & Cross-Market
36,36,0.1188216507434845,Within- & Cross-Market
37,37,0.06768679618835449,Within- & Cross-Market
38,38,0.07569696754217148,Within- & Cross-Market
39,39,0.03686561435461044,Within- & Cross-Market
40,40,0.06971912831068039,Within- & Cross-Market
41,41,0.08583370596170425,Within- & Cross-Market
42,42,0.027412615716457367,Within- & Cross-Market
43,43,0.02937614917755127,Within- & Cross-Market
44,44,0.023531774058938026,Within- & Cross-Market
45,45,0.031481727957725525,Within- & Cross-Market
46,46,0.023810358718037605,Within- & Cross-Market
47,0,0.06983374059200287,Within-Market
48,1,0.05869918316602707,Within-Market
49,2,0.07957828789949417,Within-Market
50,3,0.0373726524412632,Within-Market
51,4,0.02393459901213646,Within-Market
52,5,0.04673894867300987,Within-Market
53,6,0.026428954675793648,Within-Market
54,7,0.02086515538394451,Within-Market
55,8,0.03998800367116928,Within-Market
56,9,0.010684994980692863,Within-Market
57,10,0.08093180507421494,Within-Market
58,11,0.0796370580792427,Within-Market
59,12,0.035578034818172455,Within-Market
60,13,0.04367507994174957,Within-Market
61,14,0.017189063131809235,Within-Market
62,15,0.049832139164209366,Within-Market
63,16,0.08225125819444656,Within-Market
64,17,0.09442529082298279,Within-Market
65,18,0.056301508098840714,Within-Market
66,19,0.0793677270412445,Within-Market
67,20,0.02231616899371147,Within-Market
68,21,0.0286236684769392,Within-Market
69,22,0.029873806983232498,Within-Market
70,23,0.04840542748570442,Within-Market
71,24,0.05139729008078575,Within-Market
72,25,0.024281736463308334,Within-Market
73,26,0.11003764718770981,Within-Market
74,27,0.0627593919634819,Within-Market
75,28,0.054580848664045334,Within-Market
76,29,0.04993264749646187,Within-Market
77,30,0.019016962498426437,Within-Market
78,31,0.03962286561727524,Within-Market
79,32,0.0426911860704422,Within-Market
80,33,0.04321485385298729,Within-Market
81,34,0.04340222105383873,Within-Market
82,35,0.08947993814945221,Within-Market
83,36,0.1016058474779129,Within-Market
84,37,0.0816824659705162,Within-Market
85,38,0.03048812225461006,Within-Market
86,39,0.05078987404704094,Within-Market
87,40,0.090458944439888,Within-Market
88,41,0.03944777697324753,Within-Market
89,42,0.04948757588863373,Within-Market
90,43,0.04750853776931763,Within-Market
91,44,0.04329260066151619,Within-Market
92,45,0.055563461035490036,Within-Market
93,46,0.050980344414711,Within-Market
