,window_index,MAE,type
0,0,0.080683134496212,Within- & Cross-Market
1,1,0.06293763220310211,Within- & Cross-Market
2,2,0.05366744473576546,Within- & Cross-Market
3,3,0.060572341084480286,Within- & Cross-Market
4,4,0.030171791091561317,Within- & Cross-Market
5,5,0.08192170411348343,Within- & Cross-Market
6,6,0.04115915298461914,Within- & Cross-Market
7,7,0.02027677185833454,Within- & Cross-Market
8,8,0.061737947165966034,Within- & Cross-Market
9,9,0.029094912111759186,Within- & Cross-Market
10,10,0.09139294922351837,Within- & Cross-Market
11,11,0.0804559737443924,Within- & Cross-Market
12,12,0.027538109570741653,Within- & Cross-Market
13,13,0.03827539458870888,Within- & Cross-Market
14,14,0.025354769080877304,Within- & Cross-Market
15,15,0.039870794862508774,Within- & Cross-Market
16,16,0.11131523549556732,Within- & Cross-Market
17,17,0.09400476515293121,Within- & Cross-Market
18,18,0.09153258800506592,Within- & Cross-Market
19,19,0.04896080493927002,Within- & Cross-Market
20,20,0.055911652743816376,Within- & Cross-Market
21,21,0.09251035749912262,Within- & Cross-Market
22,22,0.04778049513697624,Within- & Cross-Market
23,23,0.0432843416929245,Within- & Cross-Market
24,24,0.028078854084014893,Within- & Cross-Market
25,25,0.05429977923631668,Within- & Cross-Market
26,26,0.09442879259586334,Within- & Cross-Market
27,27,0.041005730628967285,Within- & Cross-Market
28,28,0.13008961081504822,Within- & Cross-Market
29,29,0.06236273795366287,Within- & Cross-Market
30,30,0.03758012503385544,Within- & Cross-Market
31,31,0.05363334342837334,Within- & Cross-Market
32,32,0.06613387167453766,Within- & Cross-Market
33,33,0.04559984430670738,Within- & Cross-Market
34,34,0.05381963402032852,Within- & Cross-Market
35,35,0.07504844665527344,Within- & Cross-Market
36,36,0.09359994530677795,Within- & Cross-Market
37,37,0.1099586933851242,Within- & Cross-Market
38,38,0.07316803187131882,Within- & Cross-Market
39,39,0.0607152059674263,Within- & Cross-Market
40,40,0.1543159782886505,Within- & Cross-Market
41,41,0.17816932499408722,Within- & Cross-Market
42,42,0.09490980952978134,Within- & Cross-Market
43,43,0.07070179283618927,Within- & Cross-Market
44,44,0.12236644327640533,Within- & Cross-Market
45,45,0.0847952663898468,Within- & Cross-Market
46,46,0.04346431791782379,Within- & Cross-Market
47,0,0.11872661858797073,Within-Market
48,1,0.08856051415205002,Within-Market
49,2,0.08530580252408981,Within-Market
50,3,0.03806789219379425,Within-Market
51,4,0.04753571376204491,Within-Market
52,5,0.05853762477636337,Within-Market
53,6,0.026880959048867226,Within-Market
54,7,0.029019581153988838,Within-Market
55,8,0.03724317625164986,Within-Market
56,9,0.035764168947935104,Within-Market
57,10,0.04060749709606171,Within-Market
58,11,0.09817135334014893,Within-Market
59,12,0.045338112860918045,Within-Market
60,13,0.05178634077310562,Within-Market
61,14,0.0325847789645195,Within-Market
62,15,0.036658432334661484,Within-Market
63,16,0.0733235701918602,Within-Market
64,17,0.10275505483150482,Within-Market
65,18,0.11968985199928284,Within-Market
66,19,0.06896147131919861,Within-Market
67,20,0.0673985406756401,Within-Market
68,21,0.0751725509762764,Within-Market
69,22,0.05451415479183197,Within-Market
70,23,0.04278939589858055,Within-Market
71,24,0.08424555510282516,Within-Market
72,25,0.03160283714532852,Within-Market
73,26,0.1476588398218155,Within-Market
74,27,0.06117670238018036,Within-Market
75,28,0.10067799687385559,Within-Market
76,29,0.046614520251750946,Within-Market
77,30,0.04307042434811592,Within-Market
78,31,0.04965633526444435,Within-Market
79,32,0.05943711847066879,Within-Market
80,33,0.028141867369413376,Within-Market
81,34,0.048986468464136124,Within-Market
82,35,0.06208829954266548,Within-Market
83,36,0.12839917838573456,Within-Market
84,37,0.08948218077421188,Within-Market
85,38,0.03625404089689255,Within-Market
86,39,0.033026233315467834,Within-Market
87,40,0.06142258644104004,Within-Market
88,41,0.11376958340406418,Within-Market
89,42,0.06850840151309967,Within-Market
90,43,0.05456758290529251,Within-Market
91,44,0.06564385443925858,Within-Market
92,45,0.05211848393082619,Within-Market
93,46,0.032951101660728455,Within-Market
