,window_index,MAE,type
0,0,0.07877380400896072,Within- & Cross-Market
1,1,0.11178437620401382,Within- & Cross-Market
2,2,0.09323205053806305,Within- & Cross-Market
3,3,0.0605241097509861,Within- & Cross-Market
4,4,0.045168887823820114,Within- & Cross-Market
5,5,0.031730588525533676,Within- & Cross-Market
6,6,0.06398292630910873,Within- & Cross-Market
7,7,0.027003396302461624,Within- & Cross-Market
8,8,0.05721239745616913,Within- & Cross-Market
9,9,0.03569188341498375,Within- & Cross-Market
10,10,0.039797592908144,Within- & Cross-Market
11,11,0.0833495631814003,Within- & Cross-Market
12,12,0.042345426976680756,Within- & Cross-Market
13,13,0.05198752507567406,Within- & Cross-Market
14,14,0.01810595765709877,Within- & Cross-Market
15,15,0.059113118797540665,Within- & Cross-Market
16,16,0.10117848217487335,Within- & Cross-Market
17,17,0.09164584428071976,Within- & Cross-Market
18,18,0.10803259164094925,Within- & Cross-Market
19,19,0.03878488019108772,Within- & Cross-Market
20,20,0.05275930464267731,Within- & Cross-Market
21,21,0.033038076013326645,Within- & Cross-Market
22,22,0.0487445704638958,Within- & Cross-Market
23,23,0.023331046104431152,Within- & Cross-Market
24,24,0.030201856046915054,Within- & Cross-Market
25,25,0.03170477971434593,Within- & Cross-Market
26,26,0.13412714004516602,Within- & Cross-Market
27,27,0.037977684289216995,Within- & Cross-Market
28,28,0.08885178714990616,Within- & Cross-Market
29,29,0.04773898795247078,Within- & Cross-Market
30,30,0.053457848727703094,Within- & Cross-Market
31,31,0.04786514863371849,Within- & Cross-Market
32,32,0.04315091297030449,Within- & Cross-Market
33,33,0.043823640793561935,Within- & Cross-Market
34,34,0.08189721405506134,Within- & Cross-Market
35,35,0.11921170353889465,Within- & Cross-Market
36,36,0.11977438628673553,Within- & Cross-Market
37,37,0.1197436973452568,Within- & Cross-Market
38,38,0.04170827940106392,Within- & Cross-Market
39,39,0.046479739248752594,Within- & Cross-Market
40,40,0.09229258447885513,Within- & Cross-Market
41,41,0.07558384537696838,Within- & Cross-Market
42,42,0.08097972720861435,Within- & Cross-Market
43,43,0.062305741012096405,Within- & Cross-Market
44,44,0.05953754484653473,Within- & Cross-Market
45,45,0.07824154943227768,Within- & Cross-Market
46,46,0.02824106439948082,Within- & Cross-Market
47,0,0.08593752980232239,Within-Market
48,1,0.09560912102460861,Within-Market
49,2,0.10709864646196365,Within-Market
50,3,0.047033097594976425,Within-Market
51,4,0.02929103933274746,Within-Market
52,5,0.07305021584033966,Within-Market
53,6,0.02959614247083664,Within-Market
54,7,0.024973774328827858,Within-Market
55,8,0.04120318219065666,Within-Market
56,9,0.020664313808083534,Within-Market
57,10,0.07652418315410614,Within-Market
58,11,0.09921751171350479,Within-Market
59,12,0.0362095907330513,Within-Market
60,13,0.04319043084979057,Within-Market
61,14,0.01768115535378456,Within-Market
62,15,0.04755282774567604,Within-Market
63,16,0.10692254453897476,Within-Market
64,17,0.05060363560914993,Within-Market
65,18,0.04986465722322464,Within-Market
66,19,0.035916317254304886,Within-Market
67,20,0.02887398935854435,Within-Market
68,21,0.031681422144174576,Within-Market
69,22,0.06258451193571091,Within-Market
70,23,0.023840539157390594,Within-Market
71,24,0.04913976415991783,Within-Market
72,25,0.0571436807513237,Within-Market
73,26,0.06555140763521194,Within-Market
74,27,0.07399404793977737,Within-Market
75,28,0.07672737538814545,Within-Market
76,29,0.06138600781559944,Within-Market
77,30,0.052321720868349075,Within-Market
78,31,0.07189784944057465,Within-Market
79,32,0.04189877212047577,Within-Market
80,33,0.050095245242118835,Within-Market
81,34,0.053953517228364944,Within-Market
82,35,0.09229173511266708,Within-Market
83,36,0.11978424340486526,Within-Market
84,37,0.07676302641630173,Within-Market
85,38,0.06351775676012039,Within-Market
86,39,0.053327515721321106,Within-Market
87,40,0.06812144815921783,Within-Market
88,41,0.057419296354055405,Within-Market
89,42,0.07446599751710892,Within-Market
90,43,0.03835691511631012,Within-Market
91,44,0.05079195275902748,Within-Market
92,45,0.06798581033945084,Within-Market
93,46,0.06147720664739609,Within-Market
