,window_index,MAE,type
0,0,0.12756070494651794,Within- & Cross-Market
1,1,0.11961095035076141,Within- & Cross-Market
2,2,0.09484061598777771,Within- & Cross-Market
3,3,0.03768115118145943,Within- & Cross-Market
4,4,0.03947485238313675,Within- & Cross-Market
5,5,0.05924497917294502,Within- & Cross-Market
6,6,0.02978329174220562,Within- & Cross-Market
7,7,0.04557499662041664,Within- & Cross-Market
8,8,0.04886392503976822,Within- & Cross-Market
9,9,0.020091308280825615,Within- & Cross-Market
10,10,0.04109853133559227,Within- & Cross-Market
11,11,0.09204955399036407,Within- & Cross-Market
12,12,0.021072862669825554,Within- & Cross-Market
13,13,0.032365430146455765,Within- & Cross-Market
14,14,0.018400272354483604,Within- & Cross-Market
15,15,0.02432919666171074,Within- & Cross-Market
16,16,0.08785465359687805,Within- & Cross-Market
17,17,0.07414408773183823,Within- & Cross-Market
18,18,0.04740290343761444,Within- & Cross-Market
19,19,0.0594385527074337,Within- & Cross-Market
20,20,0.04594222456216812,Within- & Cross-Market
21,21,0.06782259047031403,Within- & Cross-Market
22,22,0.03514862433075905,Within- & Cross-Market
23,23,0.04153584688901901,Within- & Cross-Market
24,24,0.08954942971467972,Within- & Cross-Market
25,25,0.05706297233700752,Within- & Cross-Market
26,26,0.11034738272428513,Within- & Cross-Market
27,27,0.03275071457028389,Within- & Cross-Market
28,28,0.0788973867893219,Within- & Cross-Market
29,29,0.04034509137272835,Within- & Cross-Market
30,30,0.029130665585398674,Within- & Cross-Market
31,31,0.058178748935461044,Within- & Cross-Market
32,32,0.07819077372550964,Within- & Cross-Market
33,33,0.08822091668844223,Within- & Cross-Market
34,34,0.06414905935525894,Within- & Cross-Market
35,35,0.0843263790011406,Within- & Cross-Market
36,36,0.11615681648254395,Within- & Cross-Market
37,37,0.11041709035634995,Within- & Cross-Market
38,38,0.17274941504001617,Within- & Cross-Market
39,39,0.1013854518532753,Within- & Cross-Market
40,40,0.08496333658695221,Within- & Cross-Market
41,41,0.09219393134117126,Within- & Cross-Market
42,42,0.03973504528403282,Within- & Cross-Market
43,43,0.04122082144021988,Within- & Cross-Market
44,44,0.14373522996902466,Within- & Cross-Market
45,45,0.06680216640233994,Within- & Cross-Market
46,46,0.06315519660711288,Within- & Cross-Market
47,0,0.057222042232751846,Within-Market
48,1,0.059343498200178146,Within-Market
49,2,0.030920621007680893,Within-Market
50,3,0.09265152364969254,Within-Market
51,4,0.023815257474780083,Within-Market
52,5,0.027512064203619957,Within-Market
53,6,0.05495991185307503,Within-Market
54,7,0.01725701242685318,Within-Market
55,8,0.018905265256762505,Within-Market
56,9,0.020340530201792717,Within-Market
57,10,0.11137441545724869,Within-Market
58,11,0.08176488429307938,Within-Market
59,12,0.020683201029896736,Within-Market
60,13,0.02701481431722641,Within-Market
61,14,0.010432773269712925,Within-Market
62,15,0.04281453415751457,Within-Market
63,16,0.08108989149332047,Within-Market
64,17,0.0921558365225792,Within-Market
65,18,0.10590631514787674,Within-Market
66,19,0.0741981491446495,Within-Market
67,20,0.046407513320446014,Within-Market
68,21,0.0462009571492672,Within-Market
69,22,0.05190124362707138,Within-Market
70,23,0.020116155967116356,Within-Market
71,24,0.02426854521036148,Within-Market
72,25,0.026634078472852707,Within-Market
73,26,0.09680843353271484,Within-Market
74,27,0.07249380648136139,Within-Market
75,28,0.0791042149066925,Within-Market
76,29,0.07246861606836319,Within-Market
77,30,0.016854368150234222,Within-Market
78,31,0.05650290101766586,Within-Market
79,32,0.04457702115178108,Within-Market
80,33,0.03517233952879906,Within-Market
81,34,0.03678436204791069,Within-Market
82,35,0.058434419333934784,Within-Market
83,36,0.08388788253068924,Within-Market
84,37,0.09292181581258774,Within-Market
85,38,0.14505992829799652,Within-Market
86,39,0.0367569774389267,Within-Market
87,40,0.09870772808790207,Within-Market
88,41,0.040673818439245224,Within-Market
89,42,0.06452496349811554,Within-Market
90,43,0.028857776895165443,Within-Market
91,44,0.038885824382305145,Within-Market
92,45,0.031499046832323074,Within-Market
93,46,0.043130554258823395,Within-Market
