,window_index,MAE,type
0,0,0.06662428379058838,Within- & Cross-Market
1,1,0.12283312529325485,Within- & Cross-Market
2,2,0.048657115548849106,Within- & Cross-Market
3,3,0.037490542978048325,Within- & Cross-Market
4,4,0.02793511562049389,Within- & Cross-Market
5,5,0.06982077658176422,Within- & Cross-Market
6,6,0.020782874897122383,Within- & Cross-Market
7,7,0.021477870643138885,Within- & Cross-Market
8,8,0.03280516341328621,Within- & Cross-Market
9,9,0.015588732436299324,Within- & Cross-Market
10,10,0.05279218778014183,Within- & Cross-Market
11,11,0.047163885086774826,Within- & Cross-Market
12,12,0.04541053622961044,Within- & Cross-Market
13,13,0.0338091142475605,Within- & Cross-Market
14,14,0.024810748174786568,Within- & Cross-Market
15,15,0.03572467342019081,Within- & Cross-Market
16,16,0.09826482832431793,Within- & Cross-Market
17,17,0.10712507367134094,Within- & Cross-Market
18,18,0.09323418140411377,Within- & Cross-Market
19,19,0.07347549498081207,Within- & Cross-Market
20,20,0.0514567568898201,Within- & Cross-Market
21,21,0.0724441334605217,Within- & Cross-Market
22,22,0.05100123584270477,Within- & Cross-Market
23,23,0.036517832428216934,Within- & Cross-Market
24,24,0.04074716195464134,Within- & Cross-Market
25,25,0.03609956055879593,Within- & Cross-Market
26,26,0.18214432895183563,Within- & Cross-Market
27,27,0.06477170437574387,Within- & Cross-Market
28,28,0.07151910662651062,Within- & Cross-Market
29,29,0.06283401697874069,Within- & Cross-Market
30,30,0.04646819457411766,Within- & Cross-Market
31,31,0.04796195030212402,Within- & Cross-Market
32,32,0.04076596722006798,Within- & Cross-Market
33,33,0.031896788626909256,Within- & Cross-Market
34,34,0.07077711075544357,Within- & Cross-Market
35,35,0.09207628667354584,Within- & Cross-Market
36,36,0.1688884198665619,Within- & Cross-Market
37,37,0.10370587557554245,Within- & Cross-Market
38,38,0.1032787635922432,Within- & Cross-Market
39,39,0.03290926292538643,Within- & Cross-Market
40,40,0.043068744242191315,Within- & Cross-Market
41,41,0.07958895713090897,Within- & Cross-Market
42,42,0.0622669942677021,Within- & Cross-Market
43,43,0.07195194810628891,Within- & Cross-Market
44,44,0.08703810721635818,Within- & Cross-Market
45,45,0.0729881301522255,Within- & Cross-Market
46,46,0.02440178394317627,Within- & Cross-Market
47,0,0.1419626772403717,Within-Market
48,1,0.0640435740351677,Within-Market
49,2,0.07485760748386383,Within-Market
50,3,0.07030709087848663,Within-Market
51,4,0.04012811556458473,Within-Market
52,5,0.07969573140144348,Within-Market
53,6,0.0756615474820137,Within-Market
54,7,0.031772810965776443,Within-Market
55,8,0.0302526094019413,Within-Market
56,9,0.03310709074139595,Within-Market
57,10,0.08177845925092697,Within-Market
58,11,0.04648282006382942,Within-Market
59,12,0.048328809440135956,Within-Market
60,13,0.029390744864940643,Within-Market
61,14,0.01945691555738449,Within-Market
62,15,0.038574401289224625,Within-Market
63,16,0.09924750030040741,Within-Market
64,17,0.10369598120450974,Within-Market
65,18,0.05579390376806259,Within-Market
66,19,0.09234440326690674,Within-Market
67,20,0.056703079491853714,Within-Market
68,21,0.06809482723474503,Within-Market
69,22,0.02734261192381382,Within-Market
70,23,0.029420655220746994,Within-Market
71,24,0.03171321377158165,Within-Market
72,25,0.046815138310194016,Within-Market
73,26,0.09281975775957108,Within-Market
74,27,0.03846421092748642,Within-Market
75,28,0.06989087909460068,Within-Market
76,29,0.048290204256772995,Within-Market
77,30,0.06395373493432999,Within-Market
78,31,0.049910347908735275,Within-Market
79,32,0.049135830253362656,Within-Market
80,33,0.058795128017663956,Within-Market
81,34,0.052403148263692856,Within-Market
82,35,0.12065603584051132,Within-Market
83,36,0.1260382980108261,Within-Market
84,37,0.18138818442821503,Within-Market
85,38,0.04452744871377945,Within-Market
86,39,0.036788877099752426,Within-Market
87,40,0.0813661441206932,Within-Market
88,41,0.07542829215526581,Within-Market
89,42,0.09708233177661896,Within-Market
90,43,0.06110375002026558,Within-Market
91,44,0.028390293940901756,Within-Market
92,45,0.03505147248506546,Within-Market
93,46,0.06682828068733215,Within-Market
