,window_index,MAE,type
0,0,0.04839778691530228,Within- & Cross-Market
1,1,0.1276477426290512,Within- & Cross-Market
2,2,0.38153737783432007,Within- & Cross-Market
3,3,0.11298353970050812,Within- & Cross-Market
4,4,0.033439747989177704,Within- & Cross-Market
5,5,0.03713054582476616,Within- & Cross-Market
6,6,0.03590114042162895,Within- & Cross-Market
7,7,0.04807087033987045,Within- & Cross-Market
8,8,0.06631819158792496,Within- & Cross-Market
9,9,0.017434390261769295,Within- & Cross-Market
10,10,0.04192374274134636,Within- & Cross-Market
11,11,0.07372977584600449,Within- & Cross-Market
12,12,0.023670149967074394,Within- & Cross-Market
13,13,0.03158492222428322,Within- & Cross-Market
14,14,0.010724135674536228,Within- & Cross-Market
15,15,0.04394072666764259,Within- & Cross-Market
16,16,0.07821820676326752,Within- & Cross-Market
17,17,0.08144120872020721,Within- & Cross-Market
18,18,0.08298132568597794,Within- & Cross-Market
19,19,0.05184723809361458,Within- & Cross-Market
20,20,0.03886076435446739,Within- & Cross-Market
21,21,0.04234880581498146,Within- & Cross-Market
22,22,0.023546485230326653,Within- & Cross-Market
23,23,0.028312450274825096,Within- & Cross-Market
24,24,0.03572741523385048,Within- & Cross-Market
25,25,0.02537449635565281,Within- & Cross-Market
26,26,0.1181834414601326,Within- & Cross-Market
27,27,0.04849298298358917,Within- & Cross-Market
28,28,0.07082953304052353,Within- & Cross-Market
29,29,0.04347327724099159,Within- & Cross-Market
30,30,0.05271802842617035,Within- & Cross-Market
31,31,0.04248708114027977,Within- & Cross-Market
32,32,0.041509829461574554,Within- & Cross-Market
33,33,0.04599287360906601,Within- & Cross-Market
34,34,0.049923721700906754,Within- & Cross-Market
35,35,0.07144013792276382,Within- & Cross-Market
36,36,0.08055590093135834,Within- & Cross-Market
37,37,0.09180736541748047,Within- & Cross-Market
38,38,0.05355466902256012,Within- & Cross-Market
39,39,0.046513304114341736,Within- & Cross-Market
40,40,0.08245211094617844,Within- & Cross-Market
41,41,0.06309971213340759,Within- & Cross-Market
42,42,0.06453517079353333,Within- & Cross-Market
43,43,0.05972909927368164,Within- & Cross-Market
44,44,0.04207494482398033,Within- & Cross-Market
45,45,0.030945276841521263,Within- & Cross-Market
46,46,0.049193333834409714,Within- & Cross-Market
47,0,0.060489822179079056,Within-Market
48,1,0.07974985241889954,Within-Market
49,2,0.04501491039991379,Within-Market
50,3,0.10414956510066986,Within-Market
51,4,0.08517137914896011,Within-Market
52,5,0.11572743207216263,Within-Market
53,6,0.1082126572728157,Within-Market
54,7,0.05061018094420433,Within-Market
55,8,0.029189107939600945,Within-Market
56,9,0.012022946961224079,Within-Market
57,10,0.06167484074831009,Within-Market
58,11,0.045852284878492355,Within-Market
59,12,0.022819239646196365,Within-Market
60,13,0.058156974613666534,Within-Market
61,14,0.017853697761893272,Within-Market
62,15,0.05050337314605713,Within-Market
63,16,0.04276735708117485,Within-Market
64,17,0.11743950843811035,Within-Market
65,18,0.08644534647464752,Within-Market
66,19,0.0720989927649498,Within-Market
67,20,0.04295631870627403,Within-Market
68,21,0.02808208204805851,Within-Market
69,22,0.043197162449359894,Within-Market
70,23,0.038790199905633926,Within-Market
71,24,0.025287311524152756,Within-Market
72,25,0.024303851649165154,Within-Market
73,26,0.06112905219197273,Within-Market
74,27,0.03273535147309303,Within-Market
75,28,0.058932218700647354,Within-Market
76,29,0.041265059262514114,Within-Market
77,30,0.02986285090446472,Within-Market
78,31,0.042861998081207275,Within-Market
79,32,0.03053511492908001,Within-Market
80,33,0.04528876021504402,Within-Market
81,34,0.05061469227075577,Within-Market
82,35,0.053517162799835205,Within-Market
83,36,0.11101943999528885,Within-Market
84,37,0.06504842638969421,Within-Market
85,38,0.03581986576318741,Within-Market
86,39,0.0484633594751358,Within-Market
87,40,0.04273881018161774,Within-Market
88,41,0.038738373667001724,Within-Market
89,42,0.0645189881324768,Within-Market
90,43,0.060576748102903366,Within-Market
91,44,0.024449583142995834,Within-Market
92,45,0.02996797114610672,Within-Market
93,46,0.02258462831377983,Within-Market
