,window_index,MAE,type
0,0,0.10789182782173157,Within- & Cross-Market
1,1,0.1120200902223587,Within- & Cross-Market
2,2,0.046321943402290344,Within- & Cross-Market
3,3,0.07465033233165741,Within- & Cross-Market
4,4,0.08149097859859467,Within- & Cross-Market
5,5,0.04045257717370987,Within- & Cross-Market
6,6,0.04888160154223442,Within- & Cross-Market
7,7,0.13821011781692505,Within- & Cross-Market
8,8,0.08845732361078262,Within- & Cross-Market
9,9,0.037462808191776276,Within- & Cross-Market
10,10,0.04913360998034477,Within- & Cross-Market
11,11,0.0826466754078865,Within- & Cross-Market
12,12,0.057770539075136185,Within- & Cross-Market
13,13,0.042247120290994644,Within- & Cross-Market
14,14,0.014072064310312271,Within- & Cross-Market
15,15,0.08071120828390121,Within- & Cross-Market
16,16,0.03888054937124252,Within- & Cross-Market
17,17,0.03920616954565048,Within- & Cross-Market
18,18,0.07105754315853119,Within- & Cross-Market
19,19,0.025104571133852005,Within- & Cross-Market
20,20,0.042054057121276855,Within- & Cross-Market
21,21,0.028028521686792374,Within- & Cross-Market
22,22,0.02070159837603569,Within- & Cross-Market
23,23,0.03742269426584244,Within- & Cross-Market
24,24,0.02934056706726551,Within- & Cross-Market
25,25,0.055375561118125916,Within- & Cross-Market
26,26,0.09594059735536575,Within- & Cross-Market
27,27,0.04083825275301933,Within- & Cross-Market
28,28,0.05370994284749031,Within- & Cross-Market
29,29,0.02507610432803631,Within- & Cross-Market
30,30,0.12907762825489044,Within- & Cross-Market
31,31,0.049915485084056854,Within- & Cross-Market
32,32,0.04473309591412544,Within- & Cross-Market
33,33,0.03238930553197861,Within- & Cross-Market
34,34,0.038836460560560226,Within- & Cross-Market
35,35,0.11909166723489761,Within- & Cross-Market
36,36,0.1281072497367859,Within- & Cross-Market
37,37,0.45337897539138794,Within- & Cross-Market
38,38,0.04224678501486778,Within- & Cross-Market
39,39,0.3297104239463806,Within- & Cross-Market
40,40,0.12048900872468948,Within- & Cross-Market
41,41,0.11174154281616211,Within- & Cross-Market
42,42,0.10607949644327164,Within- & Cross-Market
43,43,0.037185411900281906,Within- & Cross-Market
44,44,0.03639296814799309,Within- & Cross-Market
45,45,0.030965834856033325,Within- & Cross-Market
46,46,0.07025478035211563,Within- & Cross-Market
47,0,0.12601271271705627,Within-Market
48,1,0.07691358029842377,Within-Market
49,2,0.043724171817302704,Within-Market
50,3,0.04504157975316048,Within-Market
51,4,0.04506279155611992,Within-Market
52,5,0.07021652162075043,Within-Market
53,6,0.04880229011178017,Within-Market
54,7,0.06824836134910583,Within-Market
55,8,0.04398183152079582,Within-Market
56,9,0.06810925155878067,Within-Market
57,10,0.0471227653324604,Within-Market
58,11,0.06418890506029129,Within-Market
59,12,0.02331269532442093,Within-Market
60,13,0.059394173324108124,Within-Market
61,14,0.03306378424167633,Within-Market
62,15,0.08109097927808762,Within-Market
63,16,0.09068809449672699,Within-Market
64,17,0.022867849096655846,Within-Market
65,18,0.07587215304374695,Within-Market
66,19,0.05385666340589523,Within-Market
67,20,0.0460670180618763,Within-Market
68,21,0.04414406791329384,Within-Market
69,22,0.022287368774414062,Within-Market
70,23,0.03724925220012665,Within-Market
71,24,0.07735054194927216,Within-Market
72,25,0.05017302185297012,Within-Market
73,26,0.05591312795877457,Within-Market
74,27,0.022574270144104958,Within-Market
75,28,0.08120754361152649,Within-Market
76,29,0.02767101861536503,Within-Market
77,30,0.11579196155071259,Within-Market
78,31,0.04721004143357277,Within-Market
79,32,0.071066714823246,Within-Market
80,33,0.026875393465161324,Within-Market
81,34,0.040710944682359695,Within-Market
82,35,0.18603602051734924,Within-Market
83,36,0.25074878334999084,Within-Market
84,37,0.3008567690849304,Within-Market
85,38,0.04081299528479576,Within-Market
86,39,0.1154889166355133,Within-Market
87,40,0.11417541652917862,Within-Market
88,41,0.2331748604774475,Within-Market
89,42,0.055579010397195816,Within-Market
90,43,0.10028180480003357,Within-Market
91,44,0.09266412258148193,Within-Market
92,45,0.031792204827070236,Within-Market
93,46,0.07373525202274323,Within-Market
