,window_index,MAE,type
0,0,0.18724480271339417,Within- & Cross-Market
1,1,0.05883833393454552,Within- & Cross-Market
2,2,0.09422679990530014,Within- & Cross-Market
3,3,0.054842256009578705,Within- & Cross-Market
4,4,0.0463109090924263,Within- & Cross-Market
5,5,0.08723197132349014,Within- & Cross-Market
6,6,0.05867806449532509,Within- & Cross-Market
7,7,0.1549755185842514,Within- & Cross-Market
8,8,0.05994159355759621,Within- & Cross-Market
9,9,0.04273064807057381,Within- & Cross-Market
10,10,0.04255016893148422,Within- & Cross-Market
11,11,0.09070592373609543,Within- & Cross-Market
12,12,0.053214263170957565,Within- & Cross-Market
13,13,0.03872012719511986,Within- & Cross-Market
14,14,0.024112991988658905,Within- & Cross-Market
15,15,0.121951624751091,Within- & Cross-Market
16,16,0.03943266347050667,Within- & Cross-Market
17,17,0.05740821361541748,Within- & Cross-Market
18,18,0.09799100458621979,Within- & Cross-Market
19,19,0.07183773070573807,Within- & Cross-Market
20,20,0.06491591781377792,Within- & Cross-Market
21,21,0.07896383851766586,Within- & Cross-Market
22,22,0.042422257363796234,Within- & Cross-Market
23,23,0.022563252598047256,Within- & Cross-Market
24,24,0.06468315422534943,Within- & Cross-Market
25,25,0.08964122831821442,Within- & Cross-Market
26,26,0.06610416620969772,Within- & Cross-Market
27,27,0.04445141926407814,Within- & Cross-Market
28,28,0.06229035183787346,Within- & Cross-Market
29,29,0.05508541315793991,Within- & Cross-Market
30,30,0.1417366862297058,Within- & Cross-Market
31,31,0.0981822982430458,Within- & Cross-Market
32,32,0.05966222658753395,Within- & Cross-Market
33,33,0.04647531360387802,Within- & Cross-Market
34,34,0.08673077076673508,Within- & Cross-Market
35,35,0.10978388041257858,Within- & Cross-Market
36,36,0.28927093744277954,Within- & Cross-Market
37,37,0.30262768268585205,Within- & Cross-Market
38,38,0.053670432418584824,Within- & Cross-Market
39,39,0.2385975867509842,Within- & Cross-Market
40,40,0.26636379957199097,Within- & Cross-Market
41,41,0.07636842131614685,Within- & Cross-Market
42,42,0.1250344067811966,Within- & Cross-Market
43,43,0.10023245960474014,Within- & Cross-Market
44,44,0.10320749878883362,Within- & Cross-Market
45,45,0.0640469491481781,Within- & Cross-Market
46,46,0.05595264583826065,Within- & Cross-Market
47,0,0.2694993019104004,Within-Market
48,1,0.11522357910871506,Within-Market
49,2,0.09805666655302048,Within-Market
50,3,0.12253637611865997,Within-Market
51,4,0.11302540451288223,Within-Market
52,5,0.03193182870745659,Within-Market
53,6,0.1122991070151329,Within-Market
54,7,0.10916592180728912,Within-Market
55,8,0.05770228058099747,Within-Market
56,9,0.08424332737922668,Within-Market
57,10,0.04210088774561882,Within-Market
58,11,0.052659980952739716,Within-Market
59,12,0.029775822535157204,Within-Market
60,13,0.08951206505298615,Within-Market
61,14,0.025167791172862053,Within-Market
62,15,0.08082602918148041,Within-Market
63,16,0.036514535546302795,Within-Market
64,17,0.07267439365386963,Within-Market
65,18,0.08079969137907028,Within-Market
66,19,0.0661621019244194,Within-Market
67,20,0.07161659747362137,Within-Market
68,21,0.06540850549936295,Within-Market
69,22,0.06324122101068497,Within-Market
70,23,0.034701429307460785,Within-Market
71,24,0.035821832716464996,Within-Market
72,25,0.03784013167023659,Within-Market
73,26,0.13818344473838806,Within-Market
74,27,0.09432402998209,Within-Market
75,28,0.06504781544208527,Within-Market
76,29,0.030544904991984367,Within-Market
77,30,0.14019106328487396,Within-Market
78,31,0.08044550567865372,Within-Market
79,32,0.050751931965351105,Within-Market
80,33,0.04125847667455673,Within-Market
81,34,0.07185474038124084,Within-Market
82,35,0.137751504778862,Within-Market
83,36,0.1991659551858902,Within-Market
84,37,0.469970703125,Within-Market
85,38,0.12416517734527588,Within-Market
86,39,0.2126174420118332,Within-Market
87,40,0.11911456286907196,Within-Market
88,41,0.07153695076704025,Within-Market
89,42,0.16546420753002167,Within-Market
90,43,0.056251682341098785,Within-Market
91,44,0.05069565027952194,Within-Market
92,45,0.06037453934550285,Within-Market
93,46,0.08281537145376205,Within-Market
