,window_index,MAE,type
0,0,0.19008104503154755,Within- & Cross-Market
1,1,0.13349971175193787,Within- & Cross-Market
2,2,0.040047891438007355,Within- & Cross-Market
3,3,0.061393339186906815,Within- & Cross-Market
4,4,0.11320780217647552,Within- & Cross-Market
5,5,0.09078065305948257,Within- & Cross-Market
6,6,0.06057814881205559,Within- & Cross-Market
7,7,0.07798849791288376,Within- & Cross-Market
8,8,0.09865637868642807,Within- & Cross-Market
9,9,0.04080391675233841,Within- & Cross-Market
10,10,0.10423544049263,Within- & Cross-Market
11,11,0.044130828231573105,Within- & Cross-Market
12,12,0.051393382251262665,Within- & Cross-Market
13,13,0.03461795672774315,Within- & Cross-Market
14,14,0.02175361104309559,Within- & Cross-Market
15,15,0.0914696604013443,Within- & Cross-Market
16,16,0.034962043166160583,Within- & Cross-Market
17,17,0.059695687144994736,Within- & Cross-Market
18,18,0.1155107393860817,Within- & Cross-Market
19,19,0.08762403577566147,Within- & Cross-Market
20,20,0.03349059075117111,Within- & Cross-Market
21,21,0.11564461886882782,Within- & Cross-Market
22,22,0.04477415233850479,Within- & Cross-Market
23,23,0.020256705582141876,Within- & Cross-Market
24,24,0.06709590554237366,Within- & Cross-Market
25,25,0.03818333521485329,Within- & Cross-Market
26,26,0.05743108689785004,Within- & Cross-Market
27,27,0.028362127020955086,Within- & Cross-Market
28,28,0.0519864559173584,Within- & Cross-Market
29,29,0.042159415781497955,Within- & Cross-Market
30,30,0.17442686855793,Within- & Cross-Market
31,31,0.06072332710027695,Within- & Cross-Market
32,32,0.06250578165054321,Within- & Cross-Market
33,33,0.03859064728021622,Within- & Cross-Market
34,34,0.06791296601295471,Within- & Cross-Market
35,35,0.10214611887931824,Within- & Cross-Market
36,36,0.16011495888233185,Within- & Cross-Market
37,37,0.42751291394233704,Within- & Cross-Market
38,38,0.04961485415697098,Within- & Cross-Market
39,39,0.24183069169521332,Within- & Cross-Market
40,40,0.11794630438089371,Within- & Cross-Market
41,41,0.1266978681087494,Within- & Cross-Market
42,42,0.12580183148384094,Within- & Cross-Market
43,43,0.0999436154961586,Within- & Cross-Market
44,44,0.06843123584985733,Within- & Cross-Market
45,45,0.03684068098664284,Within- & Cross-Market
46,46,0.08539480715990067,Within- & Cross-Market
47,0,0.1899767369031906,Within-Market
48,1,0.05783838406205177,Within-Market
49,2,0.07099319249391556,Within-Market
50,3,0.07496020197868347,Within-Market
51,4,0.046767693012952805,Within-Market
52,5,0.12998001277446747,Within-Market
53,6,0.09886138886213303,Within-Market
54,7,0.08057395368814468,Within-Market
55,8,0.10145263373851776,Within-Market
56,9,0.036154747009277344,Within-Market
57,10,0.09263557940721512,Within-Market
58,11,0.04672420769929886,Within-Market
59,12,0.02813282050192356,Within-Market
60,13,0.034681983292102814,Within-Market
61,14,0.020945647731423378,Within-Market
62,15,0.09428592771291733,Within-Market
63,16,0.07079971581697464,Within-Market
64,17,0.062439195811748505,Within-Market
65,18,0.10845477879047394,Within-Market
66,19,0.035190701484680176,Within-Market
67,20,0.03489697352051735,Within-Market
68,21,0.032884400337934494,Within-Market
69,22,0.028030984103679657,Within-Market
70,23,0.050636112689971924,Within-Market
71,24,0.03975114971399307,Within-Market
72,25,0.0349762998521328,Within-Market
73,26,0.09361431002616882,Within-Market
74,27,0.039829451590776443,Within-Market
75,28,0.06354613602161407,Within-Market
76,29,0.044421982020139694,Within-Market
77,30,0.14500728249549866,Within-Market
78,31,0.06384918838739395,Within-Market
79,32,0.05569852143526077,Within-Market
80,33,0.04304259270429611,Within-Market
81,34,0.06483539938926697,Within-Market
82,35,0.10249528288841248,Within-Market
83,36,0.1685408651828766,Within-Market
84,37,0.4069073796272278,Within-Market
85,38,0.0515408031642437,Within-Market
86,39,0.22205916047096252,Within-Market
87,40,0.36345374584198,Within-Market
88,41,0.07829677313566208,Within-Market
89,42,0.14665846526622772,Within-Market
90,43,0.09548196196556091,Within-Market
91,44,0.046714432537555695,Within-Market
92,45,0.07207243889570236,Within-Market
93,46,0.04816827550530434,Within-Market
