,window_index,MAE,type
0,0,0.11276023089885712,Within- & Cross-Market
1,1,0.1253349334001541,Within- & Cross-Market
2,2,0.04501105099916458,Within- & Cross-Market
3,3,0.09283535927534103,Within- & Cross-Market
4,4,0.03472510352730751,Within- & Cross-Market
5,5,0.03210020437836647,Within- & Cross-Market
6,6,0.0990225076675415,Within- & Cross-Market
7,7,0.07596847414970398,Within- & Cross-Market
8,8,0.05041564255952835,Within- & Cross-Market
9,9,0.03698337823152542,Within- & Cross-Market
10,10,0.10887739062309265,Within- & Cross-Market
11,11,0.06219055503606796,Within- & Cross-Market
12,12,0.024635013192892075,Within- & Cross-Market
13,13,0.03719951957464218,Within- & Cross-Market
14,14,0.014319642446935177,Within- & Cross-Market
15,15,0.04764586314558983,Within- & Cross-Market
16,16,0.07617683708667755,Within- & Cross-Market
17,17,0.033623676747083664,Within- & Cross-Market
18,18,0.042212024331092834,Within- & Cross-Market
19,19,0.05573270469903946,Within- & Cross-Market
20,20,0.042277511209249496,Within- & Cross-Market
21,21,0.04226144775748253,Within- & Cross-Market
22,22,0.0213206447660923,Within- & Cross-Market
23,23,0.0227122250944376,Within- & Cross-Market
24,24,0.06096775829792023,Within- & Cross-Market
25,25,0.07910208404064178,Within- & Cross-Market
26,26,0.05340113863348961,Within- & Cross-Market
27,27,0.05225658789277077,Within- & Cross-Market
28,28,0.042913489043712616,Within- & Cross-Market
29,29,0.028855284675955772,Within- & Cross-Market
30,30,0.1212710440158844,Within- & Cross-Market
31,31,0.05005886033177376,Within- & Cross-Market
32,32,0.037325840443372726,Within- & Cross-Market
33,33,0.025452638044953346,Within- & Cross-Market
34,34,0.046546731144189835,Within- & Cross-Market
35,35,0.09171836078166962,Within- & Cross-Market
36,36,0.13827896118164062,Within- & Cross-Market
37,37,0.2975865304470062,Within- & Cross-Market
38,38,0.09718881547451019,Within- & Cross-Market
39,39,0.22003650665283203,Within- & Cross-Market
40,40,0.26165467500686646,Within- & Cross-Market
41,41,0.1075645387172699,Within- & Cross-Market
42,42,0.13102170825004578,Within- & Cross-Market
43,43,0.0671919509768486,Within- & Cross-Market
44,44,0.03754621371626854,Within- & Cross-Market
45,45,0.06939318031072617,Within- & Cross-Market
46,46,0.03983943536877632,Within- & Cross-Market
47,0,0.1279272735118866,Within-Market
48,1,0.056448034942150116,Within-Market
49,2,0.08233406394720078,Within-Market
50,3,0.11809423565864563,Within-Market
51,4,0.0716303363442421,Within-Market
52,5,0.07929010689258575,Within-Market
53,6,0.050731200724840164,Within-Market
54,7,0.1524033099412918,Within-Market
55,8,0.04091483727097511,Within-Market
56,9,0.059638626873493195,Within-Market
57,10,0.07991404831409454,Within-Market
58,11,0.06933839619159698,Within-Market
59,12,0.022764716297388077,Within-Market
60,13,0.043054189532995224,Within-Market
61,14,0.026942886412143707,Within-Market
62,15,0.08418004959821701,Within-Market
63,16,0.03842586651444435,Within-Market
64,17,0.03244541957974434,Within-Market
65,18,0.09265125542879105,Within-Market
66,19,0.05482893064618111,Within-Market
67,20,0.03467894718050957,Within-Market
68,21,0.028019670397043228,Within-Market
69,22,0.020807364955544472,Within-Market
70,23,0.03945012763142586,Within-Market
71,24,0.0744512751698494,Within-Market
72,25,0.07031471282243729,Within-Market
73,26,0.09265735745429993,Within-Market
74,27,0.022786209359765053,Within-Market
75,28,0.0582660511136055,Within-Market
76,29,0.041358526796102524,Within-Market
77,30,0.10454487055540085,Within-Market
78,31,0.04459642991423607,Within-Market
79,32,0.08460751920938492,Within-Market
80,33,0.021449875086545944,Within-Market
81,34,0.045560646802186966,Within-Market
82,35,0.09137623757123947,Within-Market
83,36,0.1293673813343048,Within-Market
84,37,0.325411856174469,Within-Market
85,38,0.1329398900270462,Within-Market
86,39,0.22980816662311554,Within-Market
87,40,0.12050212174654007,Within-Market
88,41,0.08791744709014893,Within-Market
89,42,0.05935180187225342,Within-Market
90,43,0.09197354316711426,Within-Market
91,44,0.05995984002947807,Within-Market
92,45,0.049842868000268936,Within-Market
93,46,0.08175923675298691,Within-Market
