,window_index,MAE,type
0,0,0.1706630140542984,Within- & Cross-Market
1,1,0.462814062833786,Within- & Cross-Market
2,2,0.08853574097156525,Within- & Cross-Market
3,3,0.06695029139518738,Within- & Cross-Market
4,4,0.08109540492296219,Within- & Cross-Market
5,5,0.03811574727296829,Within- & Cross-Market
6,6,0.05616717413067818,Within- & Cross-Market
7,7,0.14287792146205902,Within- & Cross-Market
8,8,0.09277152270078659,Within- & Cross-Market
9,9,0.07386624813079834,Within- & Cross-Market
10,10,0.09988128393888474,Within- & Cross-Market
11,11,0.08276207000017166,Within- & Cross-Market
12,12,0.04036308825016022,Within- & Cross-Market
13,13,0.03685253486037254,Within- & Cross-Market
14,14,0.014998119324445724,Within- & Cross-Market
15,15,0.09487463533878326,Within- & Cross-Market
16,16,0.04847865179181099,Within- & Cross-Market
17,17,0.05403641611337662,Within- & Cross-Market
18,18,0.04205789044499397,Within- & Cross-Market
19,19,0.055779021233320236,Within- & Cross-Market
20,20,0.05443712696433067,Within- & Cross-Market
21,21,0.02967941388487816,Within- & Cross-Market
22,22,0.035581186413764954,Within- & Cross-Market
23,23,0.02097773179411888,Within- & Cross-Market
24,24,0.05287203565239906,Within- & Cross-Market
25,25,0.09297171980142593,Within- & Cross-Market
26,26,0.06350723654031754,Within- & Cross-Market
27,27,0.042402975261211395,Within- & Cross-Market
28,28,0.04442263022065163,Within- & Cross-Market
29,29,0.03891637176275253,Within- & Cross-Market
30,30,0.17376787960529327,Within- & Cross-Market
31,31,0.04579295217990875,Within- & Cross-Market
32,32,0.0340518094599247,Within- & Cross-Market
33,33,0.021539362147450447,Within- & Cross-Market
34,34,0.0484442375600338,Within- & Cross-Market
35,35,0.2332555651664734,Within- & Cross-Market
36,36,0.22804944217205048,Within- & Cross-Market
37,37,0.2784952223300934,Within- & Cross-Market
38,38,0.042615439742803574,Within- & Cross-Market
39,39,0.2361738532781601,Within- & Cross-Market
40,40,0.32818180322647095,Within- & Cross-Market
41,41,0.05083293095231056,Within- & Cross-Market
42,42,0.13865926861763,Within- & Cross-Market
43,43,0.07430186867713928,Within- & Cross-Market
44,44,0.08319488167762756,Within- & Cross-Market
45,45,0.031285934150218964,Within- & Cross-Market
46,46,0.09775851666927338,Within- & Cross-Market
47,0,0.2732701599597931,Within-Market
48,1,0.28675058484077454,Within-Market
49,2,0.08758744597434998,Within-Market
50,3,0.1754915863275528,Within-Market
51,4,0.06383336335420609,Within-Market
52,5,0.0685332864522934,Within-Market
53,6,0.05070110037922859,Within-Market
54,7,0.1568038910627365,Within-Market
55,8,0.0664389431476593,Within-Market
56,9,0.06448902189731598,Within-Market
57,10,0.04781070724129677,Within-Market
58,11,0.03842480853199959,Within-Market
59,12,0.04281004145741463,Within-Market
60,13,0.021259179338812828,Within-Market
61,14,0.027875643223524094,Within-Market
62,15,0.09136799722909927,Within-Market
63,16,0.0947166457772255,Within-Market
64,17,0.02106619067490101,Within-Market
65,18,0.056918222457170486,Within-Market
66,19,0.06426869332790375,Within-Market
67,20,0.027367690578103065,Within-Market
68,21,0.029732655733823776,Within-Market
69,22,0.03163404390215874,Within-Market
70,23,0.020347638055682182,Within-Market
71,24,0.03155631199479103,Within-Market
72,25,0.038136448711156845,Within-Market
73,26,0.0894865170121193,Within-Market
74,27,0.059973280876874924,Within-Market
75,28,0.054839733988046646,Within-Market
76,29,0.03148074448108673,Within-Market
77,30,0.1447591334581375,Within-Market
78,31,0.04263114184141159,Within-Market
79,32,0.05640477314591408,Within-Market
80,33,0.025677910074591637,Within-Market
81,34,0.03896091505885124,Within-Market
82,35,0.13530074059963226,Within-Market
83,36,0.15717321634292603,Within-Market
84,37,0.2393588274717331,Within-Market
85,38,0.09178476780653,Within-Market
86,39,0.10857938230037689,Within-Market
87,40,0.12076588720083237,Within-Market
88,41,0.11821682006120682,Within-Market
89,42,0.06042046099901199,Within-Market
90,43,0.12147701531648636,Within-Market
91,44,0.05760837718844414,Within-Market
92,45,0.056038033217191696,Within-Market
93,46,0.04111331328749657,Within-Market
