,window_index,MAE,type
0,0,0.01748897321522236,Within- & Cross-Market
1,1,0.011338083073496819,Within- & Cross-Market
2,2,0.011881528422236443,Within- & Cross-Market
3,3,0.01657549850642681,Within- & Cross-Market
4,4,0.023560170084238052,Within- & Cross-Market
5,5,0.010219605639576912,Within- & Cross-Market
6,6,0.005999612621963024,Within- & Cross-Market
7,7,0.008116034790873528,Within- & Cross-Market
8,8,0.015301409177482128,Within- & Cross-Market
9,9,0.010548776015639305,Within- & Cross-Market
10,10,0.009576165117323399,Within- & Cross-Market
11,11,0.017113959416747093,Within- & Cross-Market
12,12,0.012654726393520832,Within- & Cross-Market
13,13,0.012059190310537815,Within- & Cross-Market
14,14,0.011330253444612026,Within- & Cross-Market
15,15,0.00986923836171627,Within- & Cross-Market
16,16,0.006728098727762699,Within- & Cross-Market
17,17,0.004956838674843311,Within- & Cross-Market
18,18,0.009572531096637249,Within- & Cross-Market
19,19,0.01391020230948925,Within- & Cross-Market
20,20,0.006929300259798765,Within- & Cross-Market
21,21,0.00977985467761755,Within- & Cross-Market
22,22,0.0052612521685659885,Within- & Cross-Market
23,23,0.006806301884353161,Within- & Cross-Market
24,24,0.011080875061452389,Within- & Cross-Market
25,25,0.02399110049009323,Within- & Cross-Market
26,26,0.028959183022379875,Within- & Cross-Market
27,27,0.012670863419771194,Within- & Cross-Market
28,28,0.021733658388257027,Within- & Cross-Market
29,29,0.025277864187955856,Within- & Cross-Market
30,30,0.019909663125872612,Within- & Cross-Market
31,31,0.0197624322026968,Within- & Cross-Market
32,32,0.030684996396303177,Within- & Cross-Market
33,33,0.025304337963461876,Within- & Cross-Market
34,34,0.030797915533185005,Within- & Cross-Market
35,35,0.020514480769634247,Within- & Cross-Market
36,36,0.017748652026057243,Within- & Cross-Market
37,37,0.025453634560108185,Within- & Cross-Market
38,38,0.01189401838928461,Within- & Cross-Market
39,39,0.007846313528716564,Within- & Cross-Market
40,40,0.008512763306498528,Within- & Cross-Market
41,41,0.015848200768232346,Within- & Cross-Market
42,42,0.013391224667429924,Within- & Cross-Market
43,43,0.012668957933783531,Within- & Cross-Market
44,44,0.015473302453756332,Within- & Cross-Market
45,45,0.015516787767410278,Within- & Cross-Market
46,46,0.010419369675219059,Within- & Cross-Market
47,0,0.052556686103343964,Within-Market
48,1,0.08300618082284927,Within-Market
49,2,0.07867656648159027,Within-Market
50,3,0.06823614239692688,Within-Market
51,4,0.05872106924653053,Within-Market
52,5,0.06913153827190399,Within-Market
53,6,0.06492222100496292,Within-Market
54,7,0.03711031377315521,Within-Market
55,8,0.05829092115163803,Within-Market
56,9,0.10341151803731918,Within-Market
57,10,0.07448642700910568,Within-Market
58,11,0.053104087710380554,Within-Market
59,12,0.06275580823421478,Within-Market
60,13,0.059772465378046036,Within-Market
61,14,0.04119069501757622,Within-Market
62,15,0.041871462017297745,Within-Market
63,16,0.03782454878091812,Within-Market
64,17,0.045045021921396255,Within-Market
65,18,0.04309307038784027,Within-Market
66,19,0.04544953629374504,Within-Market
67,20,0.05412254482507706,Within-Market
68,21,0.06802971661090851,Within-Market
69,22,0.05066951364278793,Within-Market
70,23,0.04824303090572357,Within-Market
71,24,0.14105233550071716,Within-Market
72,25,0.1374512016773224,Within-Market
73,26,0.15084724128246307,Within-Market
74,27,0.11715944856405258,Within-Market
75,28,0.1278192102909088,Within-Market
76,29,0.08062313497066498,Within-Market
77,30,0.10835032910108566,Within-Market
78,31,0.10032699257135391,Within-Market
79,32,0.08880317956209183,Within-Market
80,33,0.07598285377025604,Within-Market
81,34,0.06750307232141495,Within-Market
82,35,0.07883123308420181,Within-Market
83,36,0.0967830941081047,Within-Market
84,37,0.07073159515857697,Within-Market
85,38,0.05270887538790703,Within-Market
86,39,0.0712256208062172,Within-Market
87,40,0.07479597628116608,Within-Market
88,41,0.07969484478235245,Within-Market
89,42,0.07717319577932358,Within-Market
90,43,0.06955061852931976,Within-Market
91,44,0.05988641083240509,Within-Market
92,45,0.060538388788700104,Within-Market
93,46,0.06627493351697922,Within-Market
