,window_index,MAE,type
0,0,0.03525993600487709,Within- & Cross-Market
1,1,0.03632279857993126,Within- & Cross-Market
2,2,0.010321126319468021,Within- & Cross-Market
3,3,0.01714814268052578,Within- & Cross-Market
4,4,0.011400542221963406,Within- & Cross-Market
5,5,0.02130081318318844,Within- & Cross-Market
6,6,0.009908906184136868,Within- & Cross-Market
7,7,0.021253542974591255,Within- & Cross-Market
8,8,0.0153378676623106,Within- & Cross-Market
9,9,0.02275654301047325,Within- & Cross-Market
10,10,0.013590206392109394,Within- & Cross-Market
11,11,0.024027414619922638,Within- & Cross-Market
12,12,0.02470461092889309,Within- & Cross-Market
13,13,0.016700029373168945,Within- & Cross-Market
14,14,0.01855289563536644,Within- & Cross-Market
15,15,0.022989749908447266,Within- & Cross-Market
16,16,0.016799913719296455,Within- & Cross-Market
17,17,0.012293939478695393,Within- & Cross-Market
18,18,0.01934065856039524,Within- & Cross-Market
19,19,0.012954827398061752,Within- & Cross-Market
20,20,0.01041401270776987,Within- & Cross-Market
21,21,0.019269350916147232,Within- & Cross-Market
22,22,0.01078859344124794,Within- & Cross-Market
23,23,0.01517486572265625,Within- & Cross-Market
24,24,0.03699992597103119,Within- & Cross-Market
25,25,0.0226663239300251,Within- & Cross-Market
26,26,0.020520873367786407,Within- & Cross-Market
27,27,0.03333679214119911,Within- & Cross-Market
28,28,0.03101390041410923,Within- & Cross-Market
29,29,0.030152561143040657,Within- & Cross-Market
30,30,0.02193032018840313,Within- & Cross-Market
31,31,0.025880003347992897,Within- & Cross-Market
32,32,0.02284228429198265,Within- & Cross-Market
33,33,0.028790537267923355,Within- & Cross-Market
34,34,0.03211316093802452,Within- & Cross-Market
35,35,0.0408097468316555,Within- & Cross-Market
36,36,0.05321287363767624,Within- & Cross-Market
37,37,0.038414668291807175,Within- & Cross-Market
38,38,0.008986069820821285,Within- & Cross-Market
39,39,0.03649927303195,Within- & Cross-Market
40,40,0.02728726528584957,Within- & Cross-Market
41,41,0.013150298967957497,Within- & Cross-Market
42,42,0.02700713463127613,Within- & Cross-Market
43,43,0.01704994961619377,Within- & Cross-Market
44,44,0.007516199257224798,Within- & Cross-Market
45,45,0.008305075578391552,Within- & Cross-Market
46,46,0.017974944785237312,Within- & Cross-Market
47,0,0.06924732029438019,Within-Market
48,1,0.08546478301286697,Within-Market
49,2,0.07432277500629425,Within-Market
50,3,0.073693186044693,Within-Market
51,4,0.0725863054394722,Within-Market
52,5,0.08423332870006561,Within-Market
53,6,0.055403582751750946,Within-Market
54,7,0.041290249675512314,Within-Market
55,8,0.05047545209527016,Within-Market
56,9,0.06348803639411926,Within-Market
57,10,0.07420071959495544,Within-Market
58,11,0.04675004631280899,Within-Market
59,12,0.0390845350921154,Within-Market
60,13,0.05593042075634003,Within-Market
61,14,0.046944018453359604,Within-Market
62,15,0.043856438249349594,Within-Market
63,16,0.03165411204099655,Within-Market
64,17,0.042134203016757965,Within-Market
65,18,0.0363413505256176,Within-Market
66,19,0.03476680815219879,Within-Market
67,20,0.056633271276950836,Within-Market
68,21,0.0691162645816803,Within-Market
69,22,0.0440056249499321,Within-Market
70,23,0.035684045404195786,Within-Market
71,24,0.09160050749778748,Within-Market
72,25,0.09474091231822968,Within-Market
73,26,0.11640001833438873,Within-Market
74,27,0.07062043994665146,Within-Market
75,28,0.09751416742801666,Within-Market
76,29,0.07777325063943863,Within-Market
77,30,0.06602374464273453,Within-Market
78,31,0.09901901334524155,Within-Market
79,32,0.08752826601266861,Within-Market
80,33,0.06222786754369736,Within-Market
81,34,0.09375397115945816,Within-Market
82,35,0.09839293360710144,Within-Market
83,36,0.08653727173805237,Within-Market
84,37,0.06541784107685089,Within-Market
85,38,0.05250028520822525,Within-Market
86,39,0.06845647841691971,Within-Market
87,40,0.0651310458779335,Within-Market
88,41,0.07214125245809555,Within-Market
89,42,0.04349488392472267,Within-Market
90,43,0.04858459532260895,Within-Market
91,44,0.04868864268064499,Within-Market
92,45,0.04924739897251129,Within-Market
93,46,0.04142045974731445,Within-Market
