,window_index,MAE,type
0,0,0.03304201737046242,Within- & Cross-Market
1,1,0.015567120164632797,Within- & Cross-Market
2,2,0.015152587555348873,Within- & Cross-Market
3,3,0.03256537392735481,Within- & Cross-Market
4,4,0.010316942818462849,Within- & Cross-Market
5,5,0.012587062083184719,Within- & Cross-Market
6,6,0.00852606724947691,Within- & Cross-Market
7,7,0.00760482857003808,Within- & Cross-Market
8,8,0.011792623437941074,Within- & Cross-Market
9,9,0.022755321115255356,Within- & Cross-Market
10,10,0.021880637854337692,Within- & Cross-Market
11,11,0.014445244334638119,Within- & Cross-Market
12,12,0.01746710203588009,Within- & Cross-Market
13,13,0.01975194551050663,Within- & Cross-Market
14,14,0.007619565352797508,Within- & Cross-Market
15,15,0.008533329702913761,Within- & Cross-Market
16,16,0.019143206998705864,Within- & Cross-Market
17,17,0.009451133199036121,Within- & Cross-Market
18,18,0.01616746373474598,Within- & Cross-Market
19,19,0.019051767885684967,Within- & Cross-Market
20,20,0.014268184080719948,Within- & Cross-Market
21,21,0.009612391702830791,Within- & Cross-Market
22,22,0.020672554150223732,Within- & Cross-Market
23,23,0.011801674030721188,Within- & Cross-Market
24,24,0.021804509684443474,Within- & Cross-Market
25,25,0.016365842893719673,Within- & Cross-Market
26,26,0.030542975291609764,Within- & Cross-Market
27,27,0.0374242402613163,Within- & Cross-Market
28,28,0.026834774762392044,Within- & Cross-Market
29,29,0.022443123161792755,Within- & Cross-Market
30,30,0.030133340507745743,Within- & Cross-Market
31,31,0.029374325647950172,Within- & Cross-Market
32,32,0.0231098011136055,Within- & Cross-Market
33,33,0.03682751953601837,Within- & Cross-Market
34,34,0.028852300718426704,Within- & Cross-Market
35,35,0.04592440277338028,Within- & Cross-Market
36,36,0.037594206631183624,Within- & Cross-Market
37,37,0.027847666293382645,Within- & Cross-Market
38,38,0.03402266651391983,Within- & Cross-Market
39,39,0.014456311240792274,Within- & Cross-Market
40,40,0.020525475963950157,Within- & Cross-Market
41,41,0.0159370806068182,Within- & Cross-Market
42,42,0.02967139519751072,Within- & Cross-Market
43,43,0.017816070467233658,Within- & Cross-Market
44,44,0.017645061016082764,Within- & Cross-Market
45,45,0.016582315787672997,Within- & Cross-Market
46,46,0.02005394734442234,Within- & Cross-Market
47,0,0.07627104967832565,Within-Market
48,1,0.08188220858573914,Within-Market
49,2,0.0675344318151474,Within-Market
50,3,0.05444377660751343,Within-Market
51,4,0.060877133160829544,Within-Market
52,5,0.06460831314325333,Within-Market
53,6,0.05152975395321846,Within-Market
54,7,0.04507337883114815,Within-Market
55,8,0.0667528435587883,Within-Market
56,9,0.06771736592054367,Within-Market
57,10,0.0733436644077301,Within-Market
58,11,0.039287496358156204,Within-Market
59,12,0.05264482647180557,Within-Market
60,13,0.04642369598150253,Within-Market
61,14,0.036832503974437714,Within-Market
62,15,0.0429699569940567,Within-Market
63,16,0.02567294053733349,Within-Market
64,17,0.04600785672664642,Within-Market
65,18,0.04684494808316231,Within-Market
66,19,0.04849980026483536,Within-Market
67,20,0.05694172531366348,Within-Market
68,21,0.05120551586151123,Within-Market
69,22,0.039797909557819366,Within-Market
70,23,0.03101118840277195,Within-Market
71,24,0.10041581839323044,Within-Market
72,25,0.10159945487976074,Within-Market
73,26,0.09868915379047394,Within-Market
74,27,0.08899033814668655,Within-Market
75,28,0.0954664796590805,Within-Market
76,29,0.08073025196790695,Within-Market
77,30,0.05502241477370262,Within-Market
78,31,0.09204337000846863,Within-Market
79,32,0.07645867019891739,Within-Market
80,33,0.06493649631738663,Within-Market
81,34,0.10573278367519379,Within-Market
82,35,0.09203989803791046,Within-Market
83,36,0.08191295713186264,Within-Market
84,37,0.06696387380361557,Within-Market
85,38,0.047282878309488297,Within-Market
86,39,0.07573733478784561,Within-Market
87,40,0.06689063459634781,Within-Market
88,41,0.0791834220290184,Within-Market
89,42,0.04654749482870102,Within-Market
90,43,0.05275982990860939,Within-Market
91,44,0.04688268527388573,Within-Market
92,45,0.05059442296624184,Within-Market
93,46,0.07128451764583588,Within-Market
