,window_index,MAE,type
0,0,0.01651918701827526,Within- & Cross-Market
1,1,0.020649557933211327,Within- & Cross-Market
2,2,0.01311916671693325,Within- & Cross-Market
3,3,0.009744331240653992,Within- & Cross-Market
4,4,0.016473719850182533,Within- & Cross-Market
5,5,0.01113993488252163,Within- & Cross-Market
6,6,0.011336456052958965,Within- & Cross-Market
7,7,0.0174148790538311,Within- & Cross-Market
8,8,0.022544261068105698,Within- & Cross-Market
9,9,0.010320399887859821,Within- & Cross-Market
10,10,0.011832191608846188,Within- & Cross-Market
11,11,0.013824492692947388,Within- & Cross-Market
12,12,0.014312208630144596,Within- & Cross-Market
13,13,0.0052503724582493305,Within- & Cross-Market
14,14,0.011115103028714657,Within- & Cross-Market
15,15,0.011755765415728092,Within- & Cross-Market
16,16,0.0036084672901779413,Within- & Cross-Market
17,17,0.005091452039778233,Within- & Cross-Market
18,18,0.01027896348387003,Within- & Cross-Market
19,19,0.01164347305893898,Within- & Cross-Market
20,20,0.015205983072519302,Within- & Cross-Market
21,21,0.01672222837805748,Within- & Cross-Market
22,22,0.007789061404764652,Within- & Cross-Market
23,23,0.009973516687750816,Within- & Cross-Market
24,24,0.011771555058658123,Within- & Cross-Market
25,25,0.03394235670566559,Within- & Cross-Market
26,26,0.02028549276292324,Within- & Cross-Market
27,27,0.020563367754220963,Within- & Cross-Market
28,28,0.02987116202712059,Within- & Cross-Market
29,29,0.022594958543777466,Within- & Cross-Market
30,30,0.021596752107143402,Within- & Cross-Market
31,31,0.027467219159007072,Within- & Cross-Market
32,32,0.03477610647678375,Within- & Cross-Market
33,33,0.03898739814758301,Within- & Cross-Market
34,34,0.027800315991044044,Within- & Cross-Market
35,35,0.03018232062458992,Within- & Cross-Market
36,36,0.02694530226290226,Within- & Cross-Market
37,37,0.01590859144926071,Within- & Cross-Market
38,38,0.019723383709788322,Within- & Cross-Market
39,39,0.01369115337729454,Within- & Cross-Market
40,40,0.022160803899168968,Within- & Cross-Market
41,41,0.01518193818628788,Within- & Cross-Market
42,42,0.01602717861533165,Within- & Cross-Market
43,43,0.01277769822627306,Within- & Cross-Market
44,44,0.00824709888547659,Within- & Cross-Market
45,45,0.012551604770123959,Within- & Cross-Market
46,46,0.012103422544896603,Within- & Cross-Market
47,0,0.06713010370731354,Within-Market
48,1,0.0596097894012928,Within-Market
49,2,0.05691174045205116,Within-Market
50,3,0.05206546559929848,Within-Market
51,4,0.05729008466005325,Within-Market
52,5,0.057145021855831146,Within-Market
53,6,0.036188755184412,Within-Market
54,7,0.04673301428556442,Within-Market
55,8,0.0542258583009243,Within-Market
56,9,0.06093432381749153,Within-Market
57,10,0.0539892353117466,Within-Market
58,11,0.04200763255357742,Within-Market
59,12,0.04801066219806671,Within-Market
60,13,0.028742367401719093,Within-Market
61,14,0.05759287625551224,Within-Market
62,15,0.03361409530043602,Within-Market
63,16,0.04234826937317848,Within-Market
64,17,0.04512645676732063,Within-Market
65,18,0.04965273290872574,Within-Market
66,19,0.04230226203799248,Within-Market
67,20,0.06282414495944977,Within-Market
68,21,0.14764811098575592,Within-Market
69,22,0.07132955640554428,Within-Market
70,23,0.045782458037137985,Within-Market
71,24,0.11424437910318375,Within-Market
72,25,0.11147545278072357,Within-Market
73,26,0.13661977648735046,Within-Market
74,27,0.1926719844341278,Within-Market
75,28,0.0846819207072258,Within-Market
76,29,0.0821862742304802,Within-Market
77,30,0.064910888671875,Within-Market
78,31,0.12197386473417282,Within-Market
79,32,0.10917922109365463,Within-Market
80,33,0.12161197513341904,Within-Market
81,34,0.08702949434518814,Within-Market
82,35,0.10087955743074417,Within-Market
83,36,0.11793576925992966,Within-Market
84,37,0.09182219207286835,Within-Market
85,38,0.13372674584388733,Within-Market
86,39,0.16056950390338898,Within-Market
87,40,0.0747080072760582,Within-Market
88,41,0.09767957031726837,Within-Market
89,42,0.10698097199201584,Within-Market
90,43,0.09614825993776321,Within-Market
91,44,0.06788124144077301,Within-Market
92,45,0.11272740364074707,Within-Market
93,46,0.07174474745988846,Within-Market
