,window_index,MAE,type
0,0,0.026864536106586456,Within- & Cross-Market
1,1,0.015458528883755207,Within- & Cross-Market
2,2,0.026708709076046944,Within- & Cross-Market
3,3,0.026506004855036736,Within- & Cross-Market
4,4,0.012018569745123386,Within- & Cross-Market
5,5,0.009288069792091846,Within- & Cross-Market
6,6,0.01708162948489189,Within- & Cross-Market
7,7,0.009002892300486565,Within- & Cross-Market
8,8,0.011195776052772999,Within- & Cross-Market
9,9,0.023710070177912712,Within- & Cross-Market
10,10,0.016692062839865685,Within- & Cross-Market
11,11,0.01789889670908451,Within- & Cross-Market
12,12,0.01653427444398403,Within- & Cross-Market
13,13,0.0192315224558115,Within- & Cross-Market
14,14,0.019272755831480026,Within- & Cross-Market
15,15,0.006899162195622921,Within- & Cross-Market
16,16,0.01178122591227293,Within- & Cross-Market
17,17,0.007345037534832954,Within- & Cross-Market
18,18,0.008230646140873432,Within- & Cross-Market
19,19,0.017522765323519707,Within- & Cross-Market
20,20,0.013520435430109501,Within- & Cross-Market
21,21,0.007697952911257744,Within- & Cross-Market
22,22,0.008737868629395962,Within- & Cross-Market
23,23,0.00953285489231348,Within- & Cross-Market
24,24,0.0210421159863472,Within- & Cross-Market
25,25,0.01704023964703083,Within- & Cross-Market
26,26,0.04182356595993042,Within- & Cross-Market
27,27,0.017584702000021935,Within- & Cross-Market
28,28,0.032362326979637146,Within- & Cross-Market
29,29,0.022531000897288322,Within- & Cross-Market
30,30,0.031902432441711426,Within- & Cross-Market
31,31,0.022853374481201172,Within- & Cross-Market
32,32,0.022617194801568985,Within- & Cross-Market
33,33,0.02169155143201351,Within- & Cross-Market
34,34,0.03626116365194321,Within- & Cross-Market
35,35,0.04631539806723595,Within- & Cross-Market
36,36,0.018417691811919212,Within- & Cross-Market
37,37,0.029000643640756607,Within- & Cross-Market
38,38,0.020162848755717278,Within- & Cross-Market
39,39,0.02080531232059002,Within- & Cross-Market
40,40,0.011450895108282566,Within- & Cross-Market
41,41,0.034609146416187286,Within- & Cross-Market
42,42,0.009501178748905659,Within- & Cross-Market
43,43,0.01812264323234558,Within- & Cross-Market
44,44,0.01762077771127224,Within- & Cross-Market
45,45,0.01973765157163143,Within- & Cross-Market
46,46,0.015327072702348232,Within- & Cross-Market
47,0,0.07597897201776505,Within-Market
48,1,0.08889665454626083,Within-Market
49,2,0.09308531880378723,Within-Market
50,3,0.06506309658288956,Within-Market
51,4,0.08381573855876923,Within-Market
52,5,0.09456302225589752,Within-Market
53,6,0.06279169023036957,Within-Market
54,7,0.08876769989728928,Within-Market
55,8,0.09125872701406479,Within-Market
56,9,0.07693585008382797,Within-Market
57,10,0.08403046429157257,Within-Market
58,11,0.08454230427742004,Within-Market
59,12,0.06318691372871399,Within-Market
60,13,0.058121420443058014,Within-Market
61,14,0.044011812657117844,Within-Market
62,15,0.05547169968485832,Within-Market
63,16,0.05057359114289284,Within-Market
64,17,0.06615204364061356,Within-Market
65,18,0.04625015705823898,Within-Market
66,19,0.054010022431612015,Within-Market
67,20,0.06030786782503128,Within-Market
68,21,0.057951442897319794,Within-Market
69,22,0.06864945590496063,Within-Market
70,23,0.050880663096904755,Within-Market
71,24,0.11911816895008087,Within-Market
72,25,0.12536843121051788,Within-Market
73,26,0.0952860414981842,Within-Market
74,27,0.10058222711086273,Within-Market
75,28,0.10536723583936691,Within-Market
76,29,0.08538123220205307,Within-Market
77,30,0.08835755288600922,Within-Market
78,31,0.0864131972193718,Within-Market
79,32,0.08303641527891159,Within-Market
80,33,0.08954795449972153,Within-Market
81,34,0.10384941846132278,Within-Market
82,35,0.07584884762763977,Within-Market
83,36,0.09623990207910538,Within-Market
84,37,0.07181954383850098,Within-Market
85,38,0.09139995276927948,Within-Market
86,39,0.08069952577352524,Within-Market
87,40,0.07283221185207367,Within-Market
88,41,0.07647901028394699,Within-Market
89,42,0.06080795079469681,Within-Market
90,43,0.05655825510621071,Within-Market
91,44,0.0616607628762722,Within-Market
92,45,0.06707444041967392,Within-Market
93,46,0.05058534815907478,Within-Market
