,window_index,MAE,type
0,0,0.31729215383529663,Within- & Cross-Market
1,1,0.1372033953666687,Within- & Cross-Market
2,2,0.028026001527905464,Within- & Cross-Market
3,3,0.03104480728507042,Within- & Cross-Market
4,4,0.01270701177418232,Within- & Cross-Market
5,5,0.013554070144891739,Within- & Cross-Market
6,6,0.01369802001863718,Within- & Cross-Market
7,7,0.006969188805669546,Within- & Cross-Market
8,8,0.03592799976468086,Within- & Cross-Market
9,9,0.019989240914583206,Within- & Cross-Market
10,10,0.019016262143850327,Within- & Cross-Market
11,11,0.016947539523243904,Within- & Cross-Market
12,12,0.00942280888557434,Within- & Cross-Market
13,13,0.009991689585149288,Within- & Cross-Market
14,14,0.02468157932162285,Within- & Cross-Market
15,15,0.015894178301095963,Within- & Cross-Market
16,16,0.025923287495970726,Within- & Cross-Market
17,17,0.006330732721835375,Within- & Cross-Market
18,18,0.007602281402796507,Within- & Cross-Market
19,19,0.011719523929059505,Within- & Cross-Market
20,20,0.014529706910252571,Within- & Cross-Market
21,21,0.006730466149747372,Within- & Cross-Market
22,22,0.014127586036920547,Within- & Cross-Market
23,23,0.004947188310325146,Within- & Cross-Market
24,24,0.011300700716674328,Within- & Cross-Market
25,25,0.030708616599440575,Within- & Cross-Market
26,26,0.026880936697125435,Within- & Cross-Market
27,27,0.023144453763961792,Within- & Cross-Market
28,28,0.029138309881091118,Within- & Cross-Market
29,29,0.0276972446590662,Within- & Cross-Market
30,30,0.02114866115152836,Within- & Cross-Market
31,31,0.019513506442308426,Within- & Cross-Market
32,32,0.023440757766366005,Within- & Cross-Market
33,33,0.02451087161898613,Within- & Cross-Market
34,34,0.03651720657944679,Within- & Cross-Market
35,35,0.023467915132641792,Within- & Cross-Market
36,36,0.03357833996415138,Within- & Cross-Market
37,37,0.03802701458334923,Within- & Cross-Market
38,38,0.006819988135248423,Within- & Cross-Market
39,39,0.009108930826187134,Within- & Cross-Market
40,40,0.02485898695886135,Within- & Cross-Market
41,41,0.023278137668967247,Within- & Cross-Market
42,42,0.014756240881979465,Within- & Cross-Market
43,43,0.024999504908919334,Within- & Cross-Market
44,44,0.01614014245569706,Within- & Cross-Market
45,45,0.015489093028008938,Within- & Cross-Market
46,46,0.013933741487562656,Within- & Cross-Market
47,0,0.0756726935505867,Within-Market
48,1,0.07429591566324234,Within-Market
49,2,0.11530745029449463,Within-Market
50,3,0.06925875693559647,Within-Market
51,4,0.2756759822368622,Within-Market
52,5,0.09978898614645004,Within-Market
53,6,0.05320840701460838,Within-Market
54,7,0.07607211917638779,Within-Market
55,8,0.06272993236780167,Within-Market
56,9,0.07063896954059601,Within-Market
57,10,0.0733882337808609,Within-Market
58,11,0.04730900377035141,Within-Market
59,12,0.04592979699373245,Within-Market
60,13,0.036821600049734116,Within-Market
61,14,0.05158631131052971,Within-Market
62,15,0.039538539946079254,Within-Market
63,16,0.030374808236956596,Within-Market
64,17,0.039751868695020676,Within-Market
65,18,0.032894354313611984,Within-Market
66,19,0.044405143707990646,Within-Market
67,20,0.06086314842104912,Within-Market
68,21,0.061871450394392014,Within-Market
69,22,0.04608597606420517,Within-Market
70,23,0.03735862299799919,Within-Market
71,24,0.08580611646175385,Within-Market
72,25,0.10388308018445969,Within-Market
73,26,0.10122733563184738,Within-Market
74,27,0.11260908097028732,Within-Market
75,28,0.0876007005572319,Within-Market
76,29,0.11581455916166306,Within-Market
77,30,0.07567112892866135,Within-Market
78,31,0.07400372624397278,Within-Market
79,32,0.07417503744363785,Within-Market
80,33,0.07600460201501846,Within-Market
81,34,0.08815610408782959,Within-Market
82,35,0.08928921073675156,Within-Market
83,36,0.08097345381975174,Within-Market
84,37,0.0546254999935627,Within-Market
85,38,0.06278113275766373,Within-Market
86,39,0.08400848507881165,Within-Market
87,40,0.06747245788574219,Within-Market
88,41,0.0645064264535904,Within-Market
89,42,0.04986005648970604,Within-Market
90,43,0.04380819573998451,Within-Market
91,44,0.052380576729774475,Within-Market
92,45,0.05111696198582649,Within-Market
93,46,0.04277772828936577,Within-Market
